variance,frag_score,split,model,eps,district_type
11148662.501264807,7963.330358046281,equal,ToyDown_analytical,1,block_discon
11100677.484407516,7929.055346005368,equal,ToyDown_analytical,1,block_discon
11065717.596499965,7904.083997499986,equal,ToyDown_analytical,1,block_discon
10922527.662348617,7801.805473106157,equal,ToyDown_analytical,1,block_discon
11158734.385130394,7970.524560807418,equal,ToyDown_analytical,1,block_discon
11078750.545334818,7913.393246667715,equal,ToyDown_analytical,1,block_discon
11149418.707468316,7963.8705053345175,equal,ToyDown_analytical,1,block_discon
11058017.022241289,7898.583587315213,equal,ToyDown_analytical,1,block_discon
11078228.257101363,7913.020183643821,equal,ToyDown_analytical,1,block_discon
10944059.75435625,7817.185538825903,equal,ToyDown_analytical,1,block_discon
11090164.086889585,7921.545776349694,equal,ToyDown_analytical,1,block_discon
11117979.616116164,7941.414011511547,equal,ToyDown_analytical,1,block_discon
10969548.93637277,7835.39209740912,equal,ToyDown_analytical,1,block_discon
11484321.612494975,8203.086866067842,equal,ToyDown_analytical,1,block_discon
10951003.642524341,7822.145458945966,equal,ToyDown_analytical,1,block_discon
11192989.44292641,7994.992459233153,equal,ToyDown_analytical,1,block_discon
11245455.705898348,8032.468361355977,equal,ToyDown_analytical,1,block_discon
10822541.862827294,7730.38704487663,equal,ToyDown_analytical,1,block_discon
11352106.182656255,8108.647273325905,equal,ToyDown_analytical,1,block_discon
11216797.611819139,8011.998294156522,equal,ToyDown_analytical,1,block_discon
11102649.478316262,7930.463913083033,equal,ToyDown_analytical,1,block_discon
11210503.411401775,8007.502436715549,equal,ToyDown_analytical,1,block_discon
11373840.893890483,8124.172067064624,equal,ToyDown_analytical,1,block_discon
11311473.752392512,8079.624108851807,equal,ToyDown_analytical,1,block_discon
11099052.218471887,7927.894441765639,equal,ToyDown_analytical,1,block_discon
11314788.467774596,8081.991762696136,equal,ToyDown_analytical,1,block_discon
11314086.759964861,8081.490542832049,equal,ToyDown_analytical,1,block_discon
11058351.372327507,7898.822408805356,equal,ToyDown_analytical,1,block_discon
11003016.062317431,7859.297187369592,equal,ToyDown_analytical,1,block_discon
10880259.293956414,7771.613781397439,equal,ToyDown_analytical,1,block_discon
10999781.238394702,7856.9865988533575,equal,ToyDown_analytical,1,block_discon
11030231.057948885,7878.736469963488,equal,ToyDown_analytical,1,block_discon
11267381.709614482,8048.129792581793,equal,ToyDown_analytical,1,block_discon
11253974.840753075,8038.553457680768,equal,ToyDown_analytical,1,block_discon
11358437.376518747,8113.169554656255,equal,ToyDown_analytical,1,block_discon
11251636.509750182,8036.883221250128,equal,ToyDown_analytical,1,block_discon
11095099.367580337,7925.0709768431,equal,ToyDown_analytical,1,block_discon
11129793.328546468,7949.852377533182,equal,ToyDown_analytical,1,block_discon
11174755.713315198,7981.968366653709,equal,ToyDown_analytical,1,block_discon
11115802.149441203,7939.858678172282,equal,ToyDown_analytical,1,block_discon
11297769.667825738,8069.835477018384,equal,ToyDown_analytical,1,block_discon
11383037.513765905,8130.741081261363,equal,ToyDown_analytical,1,block_discon
11113463.59248507,7938.188280346482,equal,ToyDown_analytical,1,block_discon
10958829.606458344,7827.735433184539,equal,ToyDown_analytical,1,block_discon
10901518.138990352,7786.798670707395,equal,ToyDown_analytical,1,block_discon
11188034.137766939,7991.452955547812,equal,ToyDown_analytical,1,block_discon
11306179.817386754,8075.84272670481,equal,ToyDown_analytical,1,block_discon
11259867.145192672,8042.762246566203,equal,ToyDown_analytical,1,block_discon
10773810.105566006,7695.578646832863,equal,ToyDown_analytical,1,block_discon
11423787.422619067,8159.848159013624,equal,ToyDown_analytical,1,block_discon
11062397.622918952,7901.712587799241,equal,ToyDown_analytical,1,block_discon
11248472.297476914,8034.623069626372,equal,ToyDown_analytical,1,block_discon
11149921.118499218,7964.2293703565765,equal,ToyDown_analytical,1,block_discon
11257843.530368581,8041.316807406129,equal,ToyDown_analytical,1,block_discon
11250511.902232932,8036.079930166373,equal,ToyDown_analytical,1,block_discon
11205820.640108256,8004.157600077313,equal,ToyDown_analytical,1,block_discon
11059012.070150059,7899.294335821446,equal,ToyDown_analytical,1,block_discon
11104778.894618992,7931.98492472785,equal,ToyDown_analytical,1,block_discon
11361894.536559703,8115.638954685487,equal,ToyDown_analytical,1,block_discon
11192192.346325971,7994.423104518543,equal,ToyDown_analytical,1,block_discon
11009430.34897422,7863.878820695865,equal,ToyDown_analytical,1,block_discon
11219576.856199954,8013.983468714247,equal,ToyDown_analytical,1,block_discon
11183586.463966025,7988.276045690019,equal,ToyDown_analytical,1,block_discon
11025106.789977865,7875.076278555615,equal,ToyDown_analytical,1,block_discon
11312190.992849773,8080.136423464128,equal,ToyDown_analytical,1,block_discon
11583085.154420853,8273.63225315775,equal,ToyDown_analytical,1,block_discon
11098059.735498255,7927.185525355899,equal,ToyDown_analytical,1,block_discon
11133502.081419323,7952.501486728072,equal,ToyDown_analytical,1,block_discon
11098057.74286032,7927.184102043075,equal,ToyDown_analytical,1,block_discon
11328600.975209966,8091.857839435694,equal,ToyDown_analytical,1,block_discon
11138437.949070891,7956.027106479201,equal,ToyDown_analytical,1,block_discon
11179225.863758165,7985.161331255835,equal,ToyDown_analytical,1,block_discon
11053179.680417843,7895.128343155604,equal,ToyDown_analytical,1,block_discon
11322368.343338758,8087.405959527691,equal,ToyDown_analytical,1,block_discon
11196072.161995351,7997.194401425261,equal,ToyDown_analytical,1,block_discon
10978004.98501237,7841.432132151694,equal,ToyDown_analytical,1,block_discon
11058363.316678548,7898.83094048467,equal,ToyDown_analytical,1,block_discon
11206796.665965548,8004.854761403956,equal,ToyDown_analytical,1,block_discon
11189008.871673413,7992.149194052442,equal,ToyDown_analytical,1,block_discon
11113738.932038082,7938.384951455767,equal,ToyDown_analytical,1,block_discon
10888265.920333771,7777.3328002384,equal,ToyDown_analytical,1,block_discon
10913076.666285574,7795.054761632552,equal,ToyDown_analytical,1,block_discon
11222766.620389564,8016.261871706844,equal,ToyDown_analytical,1,block_discon
11112680.238706332,7937.6287419330865,equal,ToyDown_analytical,1,block_discon
11298829.15691033,8070.592254935948,equal,ToyDown_analytical,1,block_discon
11212319.751975043,8008.799822839324,equal,ToyDown_analytical,1,block_discon
11178110.362765934,7984.364544832802,equal,ToyDown_analytical,1,block_discon
