Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,877.0,1034.0,930.0,891.0,821.0,974.0,885.0,901.0,971.0,858.0,890.0,798.0,916.0,849.0,838.0,845.0,899.0,879.0,826.0,856.0,236.0,290.0,377.0,214.0,303.0,320.0,362.0,386.0,310.0,277.0,328.0,284.0,348.0,367.0,372.0,243.0,232.0,292.0,278.0,469.0,743.0,701.0,583.0,630.0,515.0,712.0,639.0,600.0,640.0,726.0,677.0,612.0,704.0,724.0,647.0,548.0,737.0,714.0,648.0,674.0,2020.0,2087.0,1981.0,1807.0,1738.0,2025.0,1950.0,1993.0,2029.0,1958.0,1951.0,1745.0,2020.0,2125.0,1909.0,1801.0,2060.0,1951.0,1908.0,2111.0
1131001,804.0,721.0,732.0,769.0,736.0,721.0,749.0,700.0,748.0,808.0,778.0,767.0,744.0,752.0,776.0,749.0,732.0,737.0,762.0,744.0,298.0,333.0,314.0,308.0,312.0,292.0,294.0,307.0,318.0,305.0,308.0,306.0,307.0,305.0,310.0,307.0,322.0,264.0,318.0,311.0,400.0,380.0,399.0,419.0,403.0,390.0,389.0,394.0,411.0,397.0,404.0,373.0,398.0,409.0,385.0,426.0,397.0,377.0,391.0,399.0,1612.0,1573.0,1534.0,1598.0,1579.0,1515.0,1512.0,1493.0,1628.0,1610.0,1578.0,1553.0,1546.0,1543.0,1580.0,1579.0,1533.0,1443.0,1598.0,1539.0
1131002,2017.0,1836.0,1783.0,1867.0,1763.0,1835.0,1861.0,1811.0,1727.0,1818.0,2003.0,1770.0,1853.0,1769.0,1871.0,1679.0,1950.0,1778.0,2005.0,2000.0,584.0,579.0,491.0,537.0,499.0,451.0,461.0,494.0,530.0,449.0,430.0,639.0,485.0,521.0,513.0,513.0,500.0,579.0,603.0,435.0,899.0,876.0,861.0,1023.0,957.0,808.0,884.0,912.0,860.0,985.0,810.0,820.0,944.0,819.0,917.0,879.0,858.0,800.0,978.0,886.0,3641.0,3391.0,3242.0,3570.0,3390.0,3316.0,3356.0,3398.0,3243.0,3414.0,3371.0,3362.0,3386.0,3175.0,3414.0,3237.0,3467.0,3220.0,3716.0,3475.0
1131003,553.0,491.0,542.0,537.0,589.0,559.0,556.0,550.0,518.0,557.0,678.0,617.0,517.0,560.0,635.0,543.0,551.0,571.0,542.0,558.0,709.0,698.0,741.0,715.0,729.0,764.0,708.0,763.0,706.0,705.0,699.0,816.0,759.0,724.0,685.0,702.0,694.0,703.0,675.0,690.0,2354.0,2384.0,2433.0,2396.0,2347.0,2360.0,2370.0,2362.0,2473.0,2360.0,2338.0,2358.0,2375.0,2350.0,2340.0,2424.0,2374.0,2369.0,2348.0,2373.0,3998.0,3883.0,4029.0,4023.0,3969.0,4015.0,4085.0,4070.0,4027.0,3957.0,4044.0,4129.0,3996.0,3992.0,3981.0,4084.0,3932.0,4038.0,3903.0,3950.0
1131004,211.0,197.0,217.0,243.0,213.0,209.0,217.0,238.0,207.0,228.0,296.0,225.0,193.0,266.0,271.0,267.0,221.0,235.0,241.0,221.0,1097.0,1054.0,1116.0,1086.0,1065.0,1111.0,1052.0,1053.0,1025.0,1101.0,1081.0,1091.0,1040.0,1081.0,1061.0,1064.0,1062.0,1097.0,1073.0,1094.0,430.0,401.0,420.0,367.0,403.0,375.0,408.0,427.0,400.0,360.0,427.0,379.0,417.0,405.0,391.0,372.0,434.0,406.0,401.0,377.0,1862.0,1751.0,1869.0,1833.0,1689.0,1833.0,1752.0,1844.0,1728.0,1697.0,1948.0,1792.0,1753.0,1851.0,1821.0,1797.0,1825.0,1880.0,1867.0,1755.0
1131005,441.0,422.0,457.0,485.0,446.0,462.0,519.0,448.0,441.0,434.0,451.0,475.0,476.0,454.0,467.0,448.0,438.0,449.0,450.0,440.0,1541.0,1551.0,1541.0,1519.0,1552.0,1546.0,1528.0,1541.0,1548.0,1546.0,1570.0,1539.0,1542.0,1559.0,1528.0,1536.0,1554.0,1540.0,1559.0,1545.0,683.0,656.0,629.0,659.0,653.0,681.0,666.0,652.0,660.0,675.0,650.0,670.0,658.0,652.0,649.0,648.0,657.0,657.0,657.0,657.0,2773.0,2765.0,2785.0,2787.0,2771.0,2806.0,2854.0,2768.0,2774.0,2764.0,2844.0,2845.0,2808.0,2726.0,2778.0,2750.0,2777.0,2840.0,2808.0,2766.0
1131006,49.0,65.0,63.0,24.0,44.0,29.0,13.0,65.0,28.0,51.0,46.0,74.0,26.0,18.0,57.0,139.0,46.0,18.0,36.0,39.0,1341.0,1317.0,1356.0,1377.0,1684.0,1396.0,1339.0,1397.0,1214.0,1281.0,1418.0,1344.0,1445.0,1412.0,1349.0,1281.0,1313.0,1322.0,1254.0,1372.0,0.0,32.0,0.0,36.0,27.0,6.0,36.0,10.0,23.0,32.0,13.0,33.0,0.0,47.0,4.0,61.0,17.0,31.0,12.0,27.0,1406.0,1468.0,1421.0,1493.0,1809.0,1485.0,1432.0,1550.0,1337.0,1399.0,1541.0,1483.0,1507.0,1547.0,1500.0,1528.0,1435.0,1413.0,1363.0,1484.0
1131007,0.0,4.0,8.0,25.0,0.0,30.0,0.0,0.0,47.0,20.0,3.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,19.0,0.0,516.0,416.0,335.0,225.0,185.0,237.0,228.0,300.0,359.0,583.0,273.0,405.0,51.0,215.0,430.0,478.0,425.0,176.0,223.0,215.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7.0,0.0,0.0,0.0,17.0,19.0,8.0,518.0,420.0,356.0,258.0,230.0,267.0,250.0,305.0,406.0,617.0,311.0,405.0,102.0,241.0,436.0,478.0,431.0,193.0,261.0,265.0
1131008,753.0,681.0,708.0,710.0,735.0,673.0,682.0,663.0,689.0,694.0,642.0,662.0,685.0,737.0,659.0,738.0,722.0,613.0,743.0,715.0,829.0,746.0,852.0,844.0,897.0,983.0,932.0,780.0,869.0,760.0,823.0,890.0,802.0,876.0,804.0,916.0,822.0,852.0,808.0,860.0,284.0,167.0,285.0,276.0,231.0,294.0,293.0,300.0,278.0,281.0,278.0,217.0,244.0,264.0,330.0,262.0,249.0,242.0,253.0,142.0,1996.0,1679.0,1962.0,1987.0,1949.0,2021.0,2006.0,1862.0,1946.0,1832.0,1779.0,1877.0,1868.0,1987.0,1876.0,2028.0,1889.0,1834.0,1851.0,1818.0
1131009,1243.0,1255.0,1198.0,1230.0,1238.0,1272.0,1248.0,1246.0,1258.0,1259.0,1271.0,1232.0,1244.0,1225.0,1220.0,1248.0,1244.0,1235.0,1228.0,1236.0,598.0,591.0,588.0,583.0,581.0,591.0,592.0,601.0,602.0,583.0,547.0,561.0,587.0,594.0,579.0,603.0,570.0,576.0,593.0,588.0,691.0,693.0,677.0,682.0,692.0,701.0,673.0,663.0,668.0,663.0,687.0,701.0,678.0,699.0,701.0,677.0,705.0,678.0,673.0,694.0,3076.0,3092.0,3001.0,3059.0,3044.0,3123.0,3100.0,3064.0,3056.0,3041.0,3037.0,3044.0,3071.0,3066.0,3033.0,3045.0,3046.0,3040.0,3034.0,3037.0
