Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,1082.0,1015.0,693.0,898.0,1057.0,816.0,878.0,954.0,738.0,917.0,873.0,835.0,913.0,677.0,1000.0,846.0,859.0,979.0,748.0,750.0,301.0,234.0,298.0,261.0,158.0,171.0,234.0,341.0,374.0,234.0,229.0,344.0,159.0,218.0,411.0,220.0,289.0,341.0,262.0,202.0,737.0,616.0,634.0,600.0,366.0,809.0,632.0,668.0,645.0,678.0,677.0,678.0,595.0,588.0,671.0,584.0,840.0,582.0,776.0,743.0,2251.0,1907.0,1706.0,1799.0,1688.0,1831.0,1744.0,1963.0,1777.0,1912.0,1822.0,2023.0,1685.0,1564.0,2082.0,1847.0,2133.0,1976.0,1788.0,1793.0
1131001,762.0,652.0,595.0,698.0,640.0,713.0,662.0,540.0,657.0,829.0,921.0,712.0,796.0,623.0,754.0,698.0,850.0,773.0,712.0,590.0,519.0,200.0,366.0,292.0,311.0,272.0,290.0,249.0,363.0,273.0,306.0,332.0,244.0,295.0,441.0,315.0,333.0,315.0,263.0,348.0,383.0,420.0,382.0,369.0,362.0,290.0,423.0,391.0,276.0,375.0,456.0,286.0,381.0,370.0,485.0,397.0,440.0,499.0,361.0,407.0,1715.0,1272.0,1420.0,1400.0,1390.0,1373.0,1375.0,1364.0,1449.0,1509.0,1903.0,1395.0,1602.0,1441.0,1865.0,1507.0,1712.0,1689.0,1349.0,1507.0
1131002,2007.0,1937.0,1879.0,1713.0,1778.0,1777.0,1777.0,1623.0,1963.0,2021.0,1632.0,2008.0,1999.0,1478.0,1822.0,1439.0,1936.0,1972.0,2243.0,1822.0,473.0,319.0,346.0,505.0,362.0,540.0,615.0,389.0,336.0,623.0,736.0,567.0,614.0,334.0,624.0,373.0,501.0,546.0,489.0,602.0,1029.0,829.0,752.0,764.0,918.0,871.0,615.0,1009.0,952.0,864.0,550.0,777.0,902.0,840.0,786.0,719.0,912.0,674.0,913.0,865.0,3697.0,3130.0,3215.0,3047.0,3081.0,3240.0,3170.0,3224.0,3325.0,3616.0,3044.0,3764.0,3585.0,2927.0,3248.0,2732.0,3658.0,3240.0,3769.0,3617.0
1131003,614.0,550.0,682.0,691.0,464.0,687.0,745.0,587.0,704.0,571.0,601.0,471.0,567.0,538.0,409.0,588.0,585.0,615.0,664.0,787.0,749.0,745.0,722.0,814.0,795.0,512.0,725.0,691.0,701.0,543.0,670.0,701.0,964.0,671.0,769.0,726.0,855.0,755.0,756.0,820.0,2399.0,2230.0,2261.0,2313.0,2376.0,2379.0,2401.0,2401.0,2415.0,2435.0,2339.0,2303.0,2551.0,2377.0,2473.0,2330.0,2244.0,2336.0,2428.0,2319.0,4103.0,3818.0,4021.0,4319.0,3932.0,4103.0,4127.0,4075.0,4112.0,3939.0,3988.0,3871.0,4428.0,3979.0,3982.0,3933.0,4007.0,3942.0,4155.0,4229.0
1131004,287.0,388.0,215.0,307.0,291.0,347.0,258.0,225.0,61.0,243.0,211.0,177.0,204.0,447.0,303.0,276.0,347.0,269.0,254.0,404.0,1089.0,1068.0,1077.0,1116.0,939.0,1099.0,1102.0,999.0,1107.0,1233.0,1046.0,1007.0,1015.0,1080.0,1041.0,992.0,1046.0,1010.0,1153.0,1074.0,449.0,385.0,312.0,403.0,486.0,393.0,387.0,394.0,372.0,244.0,366.0,429.0,390.0,362.0,345.0,222.0,349.0,404.0,320.0,483.0,1855.0,1922.0,1698.0,1826.0,1892.0,1839.0,1783.0,1705.0,1621.0,1766.0,1632.0,1720.0,1699.0,1961.0,1759.0,1506.0,1864.0,1719.0,1809.0,2146.0
1131005,537.0,389.0,465.0,431.0,559.0,369.0,397.0,498.0,567.0,281.0,413.0,410.0,722.0,477.0,579.0,427.0,385.0,277.0,434.0,308.0,1550.0,1536.0,1345.0,1530.0,1565.0,1666.0,1570.0,1522.0,1501.0,1555.0,1328.0,1547.0,1495.0,1481.0,1671.0,1497.0,1431.0,1559.0,1566.0,1439.0,371.0,739.0,672.0,747.0,697.0,653.0,666.0,622.0,689.0,622.0,676.0,710.0,666.0,712.0,670.0,655.0,612.0,674.0,663.0,574.0,2593.0,2727.0,2501.0,2755.0,2830.0,2962.0,2785.0,2660.0,2902.0,2757.0,2462.0,2813.0,2896.0,2797.0,2929.0,2617.0,2523.0,2611.0,2853.0,2402.0
1131006,0.0,0.0,224.0,144.0,95.0,16.0,0.0,134.0,26.0,69.0,134.0,129.0,18.0,140.0,0.0,0.0,94.0,30.0,25.0,65.0,1392.0,1373.0,1353.0,1182.0,1318.0,1386.0,1402.0,1281.0,1479.0,1297.0,1414.0,1458.0,1220.0,1304.0,1256.0,1376.0,1328.0,1440.0,1473.0,1241.0,50.0,79.0,0.0,31.0,34.0,24.0,0.0,9.0,46.0,8.0,0.0,8.0,58.0,0.0,128.0,195.0,0.0,48.0,0.0,29.0,1528.0,1485.0,1600.0,1357.0,1528.0,1532.0,1402.0,1460.0,1551.0,1395.0,1595.0,1616.0,1307.0,1444.0,1507.0,1605.0,1422.0,1573.0,1502.0,1348.0
1131007,0.0,0.0,0.0,40.0,0.0,2.0,27.0,14.0,15.0,70.0,106.0,25.0,76.0,17.0,0.0,46.0,0.0,0.0,0.0,4.0,270.0,500.0,197.0,382.0,212.0,137.0,294.0,260.0,285.0,318.0,370.0,209.0,277.0,370.0,206.0,168.0,204.0,299.0,222.0,318.0,16.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,538.0,197.0,456.0,212.0,139.0,330.0,275.0,300.0,437.0,476.0,234.0,396.0,392.0,206.0,220.0,204.0,299.0,222.0,322.0
1131008,657.0,798.0,732.0,707.0,801.0,803.0,605.0,886.0,422.0,615.0,627.0,778.0,789.0,772.0,821.0,754.0,695.0,642.0,972.0,858.0,1161.0,863.0,1019.0,1005.0,722.0,754.0,924.0,845.0,833.0,987.0,993.0,888.0,677.0,884.0,659.0,861.0,905.0,852.0,689.0,991.0,288.0,272.0,422.0,385.0,110.0,279.0,211.0,170.0,102.0,247.0,183.0,263.0,555.0,181.0,356.0,279.0,367.0,228.0,384.0,100.0,2228.0,2021.0,2271.0,2305.0,1737.0,1919.0,1988.0,2015.0,1357.0,1887.0,1828.0,2081.0,2434.0,2026.0,1926.0,2096.0,2199.0,1861.0,2054.0,2082.0
1131009,1386.0,1368.0,1197.0,1604.0,1220.0,1258.0,1259.0,1012.0,1195.0,1168.0,1121.0,1233.0,1134.0,1099.0,1135.0,1186.0,1248.0,1317.0,1225.0,1030.0,539.0,634.0,548.0,490.0,709.0,573.0,303.0,695.0,550.0,599.0,599.0,561.0,596.0,642.0,401.0,557.0,525.0,594.0,695.0,707.0,665.0,683.0,677.0,824.0,552.0,473.0,693.0,709.0,570.0,715.0,699.0,797.0,659.0,705.0,394.0,526.0,685.0,625.0,635.0,740.0,3058.0,3282.0,2957.0,3444.0,2812.0,2788.0,2956.0,2879.0,3172.0,3058.0,3026.0,3181.0,2935.0,3052.0,2445.0,2715.0,3146.0,3120.0,3140.0,2981.0
