Precinct,0_HISP_noise,1_HISP_noise,2_HISP_noise,3_HISP_noise,4_HISP_noise,5_HISP_noise,6_HISP_noise,7_HISP_noise,8_HISP_noise,9_HISP_noise,10_HISP_noise,11_HISP_noise,12_HISP_noise,13_HISP_noise,14_HISP_noise,15_HISP_noise,0_NHWHITE_noise,1_NHWHITE_noise,2_NHWHITE_noise,3_NHWHITE_noise,4_NHWHITE_noise,5_NHWHITE_noise,6_NHWHITE_noise,7_NHWHITE_noise,8_NHWHITE_noise,9_NHWHITE_noise,10_NHWHITE_noise,11_NHWHITE_noise,12_NHWHITE_noise,13_NHWHITE_noise,14_NHWHITE_noise,15_NHWHITE_noise,0_NHBLACK_noise,1_NHBLACK_noise,2_NHBLACK_noise,3_NHBLACK_noise,4_NHBLACK_noise,5_NHBLACK_noise,6_NHBLACK_noise,7_NHBLACK_noise,8_NHBLACK_noise,9_NHBLACK_noise,10_NHBLACK_noise,11_NHBLACK_noise,12_NHBLACK_noise,13_NHBLACK_noise,14_NHBLACK_noise,15_NHBLACK_noise,0_NHAMIN_noise,1_NHAMIN_noise,2_NHAMIN_noise,3_NHAMIN_noise,4_NHAMIN_noise,5_NHAMIN_noise,6_NHAMIN_noise,7_NHAMIN_noise,8_NHAMIN_noise,9_NHAMIN_noise,10_NHAMIN_noise,11_NHAMIN_noise,12_NHAMIN_noise,13_NHAMIN_noise,14_NHAMIN_noise,15_NHAMIN_noise,0_NHASIAN_noise,1_NHASIAN_noise,2_NHASIAN_noise,3_NHASIAN_noise,4_NHASIAN_noise,5_NHASIAN_noise,6_NHASIAN_noise,7_NHASIAN_noise,8_NHASIAN_noise,9_NHASIAN_noise,10_NHASIAN_noise,11_NHASIAN_noise,12_NHASIAN_noise,13_NHASIAN_noise,14_NHASIAN_noise,15_NHASIAN_noise,0_NHHAWAIIAN_noise,1_NHHAWAIIAN_noise,2_NHHAWAIIAN_noise,3_NHHAWAIIAN_noise,4_NHHAWAIIAN_noise,5_NHHAWAIIAN_noise,6_NHHAWAIIAN_noise,7_NHHAWAIIAN_noise,8_NHHAWAIIAN_noise,9_NHHAWAIIAN_noise,10_NHHAWAIIAN_noise,11_NHHAWAIIAN_noise,12_NHHAWAIIAN_noise,13_NHHAWAIIAN_noise,14_NHHAWAIIAN_noise,15_NHHAWAIIAN_noise,0_NHOTHER_noise,1_NHOTHER_noise,2_NHOTHER_noise,3_NHOTHER_noise,4_NHOTHER_noise,5_NHOTHER_noise,6_NHOTHER_noise,7_NHOTHER_noise,8_NHOTHER_noise,9_NHOTHER_noise,10_NHOTHER_noise,11_NHOTHER_noise,12_NHOTHER_noise,13_NHOTHER_noise,14_NHOTHER_noise,15_NHOTHER_noise,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,0_AMINVAP_noise,1_AMINVAP_noise,2_AMINVAP_noise,3_AMINVAP_noise,4_AMINVAP_noise,5_AMINVAP_noise,6_AMINVAP_noise,7_AMINVAP_noise,8_AMINVAP_noise,9_AMINVAP_noise,10_AMINVAP_noise,11_AMINVAP_noise,12_AMINVAP_noise,13_AMINVAP_noise,14_AMINVAP_noise,15_AMINVAP_noise,0_ASIANVAP_noise,1_ASIANVAP_noise,2_ASIANVAP_noise,3_ASIANVAP_noise,4_ASIANVAP_noise,5_ASIANVAP_noise,6_ASIANVAP_noise,7_ASIANVAP_noise,8_ASIANVAP_noise,9_ASIANVAP_noise,10_ASIANVAP_noise,11_ASIANVAP_noise,12_ASIANVAP_noise,13_ASIANVAP_noise,14_ASIANVAP_noise,15_ASIANVAP_noise,0_HAWAIIANVAP_noise,1_HAWAIIANVAP_noise,2_HAWAIIANVAP_noise,3_HAWAIIANVAP_noise,4_HAWAIIANVAP_noise,5_HAWAIIANVAP_noise,6_HAWAIIANVAP_noise,7_HAWAIIANVAP_noise,8_HAWAIIANVAP_noise,9_HAWAIIANVAP_noise,10_HAWAIIANVAP_noise,11_HAWAIIANVAP_noise,12_HAWAIIANVAP_noise,13_HAWAIIANVAP_noise,14_HAWAIIANVAP_noise,15_HAWAIIANVAP_noise,0_OTHERVAP_noise,1_OTHERVAP_noise,2_OTHERVAP_noise,3_OTHERVAP_noise,4_OTHERVAP_noise,5_OTHERVAP_noise,6_OTHERVAP_noise,7_OTHERVAP_noise,8_OTHERVAP_noise,9_OTHERVAP_noise,10_OTHERVAP_noise,11_OTHERVAP_noise,12_OTHERVAP_noise,13_OTHERVAP_noise,14_OTHERVAP_noise,15_OTHERVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise
390001,2954.0,3096.0,2564.0,2883.0,2834.0,2844.0,2806.0,2717.0,2986.0,2875.0,2935.0,3089.0,2757.0,3118.0,2595.0,2724.0,3848.0,3585.0,4325.0,3882.0,3904.0,4173.0,4028.0,4230.0,3956.0,3920.0,4048.0,3973.0,3774.0,4115.0,4268.0,3785.0,558.0,665.0,512.0,458.0,576.0,407.0,593.0,523.0,666.0,596.0,821.0,597.0,647.0,559.0,618.0,581.0,46.0,37.0,13.0,22.0,72.0,17.0,23.0,26.0,0.0,30.0,69.0,79.0,55.0,11.0,9.0,19.0,40.0,28.0,54.0,9.0,85.0,119.0,68.0,98.0,22.0,32.0,66.0,37.0,128.0,59.0,163.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,108.0,133.0,172.0,129.0,164.0,151.0,190.0,78.0,74.0,95.0,91.0,236.0,119.0,51.0,64.0,1698.0,2008.0,1683.0,1828.0,1835.0,1884.0,1770.0,1913.0,1920.0,1812.0,1747.0,1868.0,1728.0,2016.0,1790.0,1906.0,3109.0,2791.0,3311.0,3057.0,2836.0,3337.0,3066.0,3168.0,3195.0,2951.0,3002.0,3198.0,2939.0,3124.0,3336.0,3008.0,393.0,431.0,400.0,352.0,409.0,312.0,369.0,346.0,456.0,426.0,508.0,363.0,452.0,426.0,402.0,394.0,24.0,36.0,13.0,14.0,45.0,17.0,23.0,26.0,0.0,10.0,69.0,15.0,55.0,8.0,9.0,19.0,18.0,23.0,54.0,9.0,85.0,73.0,50.0,62.0,22.0,28.0,66.0,37.0,128.0,59.0,77.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,56.0,35.0,83.0,50.0,79.0,142.0,0.0,52.0,37.0,0.0,41.0,159.0,79.0,0.0,49.0,5334.0,5345.0,5496.0,5343.0,5260.0,5702.0,5420.0,5515.0,5650.0,5264.0,5392.0,5522.0,5461.0,5712.0,5614.0,5420.0
390002,1348.0,1257.0,1154.0,1267.0,1437.0,1327.0,1494.0,1071.0,1239.0,1174.0,1299.0,1263.0,1250.0,1215.0,1318.0,1435.0,4450.0,4277.0,4203.0,4067.0,4636.0,4203.0,4452.0,4315.0,4495.0,4325.0,4178.0,4464.0,4444.0,3994.0,4349.0,4278.0,813.0,748.0,742.0,1116.0,542.0,552.0,678.0,645.0,562.0,754.0,636.0,681.0,601.0,667.0,798.0,435.0,42.0,68.0,2.0,31.0,27.0,48.0,8.0,21.0,10.0,0.0,5.0,1.0,34.0,21.0,37.0,7.0,13.0,1.0,27.0,76.0,54.0,8.0,13.0,83.0,16.0,29.0,86.0,89.0,32.0,24.0,31.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,104.0,21.0,46.0,53.0,123.0,85.0,74.0,152.0,79.0,46.0,177.0,56.0,115.0,5.0,100.0,950.0,837.0,761.0,733.0,961.0,873.0,947.0,736.0,825.0,603.0,968.0,799.0,856.0,658.0,887.0,983.0,3289.0,3320.0,3307.0,3161.0,3619.0,3352.0,3384.0,3294.0,3448.0,3450.0,3246.0,3427.0,3578.0,3101.0,3253.0,3302.0,566.0,654.0,533.0,816.0,419.0,434.0,573.0,564.0,467.0,627.0,529.0,601.0,504.0,634.0,634.0,328.0,42.0,68.0,2.0,28.0,27.0,48.0,0.0,10.0,10.0,0.0,5.0,0.0,9.0,21.0,14.0,7.0,9.0,0.0,3.0,71.0,54.0,0.0,2.0,34.0,16.0,20.0,53.0,89.0,0.0,24.0,29.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,2.0,0.0,8.0,34.0,64.0,33.0,36.0,79.0,25.0,121.0,21.0,48.0,1.0,22.0,4891.0,4910.0,4608.0,4809.0,5088.0,4741.0,4970.0,4671.0,4802.0,4779.0,4826.0,5037.0,4968.0,4486.0,4818.0,4706.0
390003,2556.0,2664.0,2257.0,2820.0,2511.0,2295.0,2423.0,2354.0,2662.0,2276.0,2460.0,2036.0,2483.0,2798.0,2525.0,1914.0,4834.0,4799.0,4843.0,4995.0,4766.0,4937.0,4908.0,4572.0,4728.0,5101.0,4894.0,4551.0,4629.0,4699.0,4932.0,4802.0,107.0,192.0,230.0,134.0,176.0,251.0,245.0,244.0,224.0,64.0,132.0,257.0,222.0,148.0,141.0,208.0,3.0,15.0,103.0,54.0,39.0,19.0,0.0,0.0,25.0,6.0,0.0,94.0,80.0,16.0,75.0,64.0,80.0,4.0,90.0,75.0,132.0,32.0,64.0,54.0,15.0,18.0,39.0,20.0,22.0,165.0,25.0,30.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,57.0,80.0,15.0,71.0,62.0,152.0,32.0,91.0,90.0,128.0,31.0,97.0,82.0,25.0,48.0,89.0,1630.0,1649.0,1564.0,1664.0,1541.0,1433.0,1496.0,1498.0,1681.0,1305.0,1428.0,1255.0,1420.0,1725.0,1533.0,1125.0,3801.0,3677.0,3797.0,3847.0,3595.0,3823.0,3761.0,3568.0,3727.0,4066.0,3707.0,3548.0,3622.0,3624.0,3812.0,3759.0,34.0,124.0,146.0,38.0,132.0,110.0,166.0,121.0,115.0,45.0,90.0,198.0,151.0,72.0,97.0,117.0,3.0,15.0,69.0,13.0,39.0,0.0,0.0,0.0,25.0,6.0,0.0,94.0,80.0,16.0,69.0,64.0,20.0,4.0,47.0,32.0,84.0,0.0,42.0,12.0,0.0,0.0,39.0,0.0,8.0,149.0,25.0,9.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,33.0,50.0,0.0,50.0,39.0,28.0,3.0,24.0,13.0,26.0,5.0,52.0,16.0,0.0,47.0,59.0,5521.0,5519.0,5623.0,5644.0,5469.0,5394.0,5468.0,5223.0,5561.0,5449.0,5284.0,5147.0,5297.0,5586.0,5583.0,5133.0
390004,1133.0,1270.0,1508.0,1432.0,1478.0,1449.0,1389.0,1399.0,1397.0,1633.0,1224.0,1622.0,1671.0,1499.0,1249.0,1394.0,3912.0,4013.0,3988.0,3874.0,4010.0,4051.0,3996.0,4046.0,3732.0,4082.0,3912.0,3873.0,3849.0,3816.0,4108.0,3960.0,963.0,952.0,1075.0,1044.0,956.0,984.0,1087.0,1174.0,975.0,1055.0,1070.0,950.0,1014.0,861.0,975.0,1034.0,4.0,63.0,17.0,0.0,21.0,2.0,59.0,44.0,94.0,0.0,73.0,31.0,1.0,6.0,0.0,18.0,34.0,120.0,7.0,24.0,16.0,66.0,43.0,12.0,20.0,0.0,140.0,58.0,46.0,36.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,161.0,95.0,74.0,41.0,76.0,75.0,82.0,73.0,70.0,95.0,176.0,99.0,77.0,43.0,77.0,839.0,887.0,1122.0,1001.0,999.0,1116.0,1030.0,974.0,956.0,1259.0,917.0,1138.0,1257.0,1137.0,882.0,1006.0,2977.0,3068.0,3099.0,2966.0,3145.0,3123.0,3108.0,3115.0,2817.0,3142.0,3014.0,3041.0,2889.0,2936.0,3137.0,3045.0,783.0,854.0,922.0,853.0,831.0,856.0,888.0,945.0,797.0,859.0,875.0,763.0,905.0,740.0,804.0,885.0,0.0,0.0,17.0,0.0,21.0,2.0,1.0,44.0,74.0,0.0,73.0,31.0,1.0,6.0,0.0,18.0,32.0,73.0,0.0,24.0,16.0,0.0,0.0,12.0,20.0,0.0,123.0,0.0,46.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,73.0,66.0,56.0,17.0,37.0,9.0,82.0,50.0,18.0,26.0,121.0,55.0,3.0,26.0,11.0,4649.0,4955.0,5226.0,4900.0,5029.0,5134.0,5036.0,5172.0,4714.0,5278.0,5028.0,5094.0,5153.0,4829.0,4889.0,4965.0
390005,1103.0,997.0,1129.0,1212.0,1075.0,1134.0,1221.0,1163.0,1070.0,1080.0,1197.0,1120.0,1177.0,1009.0,1098.0,1026.0,1845.0,1905.0,1728.0,1952.0,1864.0,1661.0,1926.0,1905.0,1795.0,1959.0,1849.0,1886.0,1722.0,1562.0,1879.0,1788.0,295.0,206.0,286.0,282.0,273.0,313.0,195.0,204.0,228.0,303.0,203.0,266.0,289.0,224.0,171.0,220.0,27.0,16.0,0.0,11.0,4.0,15.0,6.0,0.0,16.0,46.0,5.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,3.0,31.0,42.0,0.0,30.0,29.0,46.0,13.0,23.0,29.0,23.0,25.0,27.0,52.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,8.0,0.0,10.0,24.0,30.0,22.0,56.0,1.0,8.0,2.0,12.0,15.0,2.0,0.0,36.0,725.0,581.0,742.0,795.0,692.0,696.0,755.0,756.0,659.0,770.0,705.0,739.0,799.0,692.0,659.0,682.0,1406.0,1521.0,1315.0,1519.0,1454.0,1344.0,1602.0,1397.0,1362.0,1504.0,1444.0,1499.0,1361.0,1188.0,1431.0,1346.0,210.0,144.0,228.0,251.0,203.0,228.0,165.0,168.0,218.0,271.0,180.0,211.0,215.0,171.0,171.0,173.0,12.0,16.0,0.0,11.0,4.0,0.0,6.0,0.0,16.0,25.0,5.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,29.0,46.0,13.0,23.0,29.0,23.0,25.0,0.0,52.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,15.0,0.0,8.0,52.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,1.0,2359.0,2273.0,2292.0,2576.0,2388.0,2268.0,2566.0,2402.0,2302.0,2583.0,2359.0,2485.0,2399.0,2082.0,2266.0,2254.0
390006,440.0,481.0,454.0,538.0,488.0,543.0,585.0,541.0,775.0,624.0,574.0,599.0,522.0,627.0,704.0,397.0,1748.0,1707.0,1704.0,1758.0,1553.0,1435.0,1637.0,1751.0,1536.0,1531.0,1765.0,1622.0,1545.0,1649.0,1526.0,1634.0,37.0,9.0,32.0,19.0,65.0,58.0,29.0,14.0,64.0,135.0,51.0,66.0,67.0,68.0,84.0,53.0,43.0,0.0,3.0,0.0,6.0,3.0,0.0,11.0,46.0,23.0,34.0,0.0,58.0,0.0,1.0,45.0,23.0,0.0,0.0,2.0,0.0,83.0,0.0,66.0,0.0,0.0,84.0,19.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,108.0,0.0,17.0,17.0,10.0,18.0,15.0,30.0,5.0,24.0,92.0,35.0,185.0,37.0,251.0,271.0,271.0,357.0,257.0,346.0,422.0,353.0,480.0,394.0,358.0,389.0,316.0,322.0,400.0,216.0,1355.0,1376.0,1202.0,1407.0,1209.0,1155.0,1312.0,1314.0,1243.0,1273.0,1395.0,1220.0,1222.0,1316.0,1253.0,1343.0,37.0,0.0,23.0,19.0,65.0,39.0,0.0,0.0,44.0,102.0,22.0,29.0,46.0,53.0,72.0,15.0,43.0,0.0,3.0,0.0,6.0,3.0,0.0,11.0,46.0,23.0,8.0,0.0,20.0,0.0,0.0,45.0,23.0,0.0,0.0,0.0,0.0,25.0,0.0,66.0,0.0,0.0,0.0,19.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,79.0,0.0,16.0,12.0,0.0,18.0,15.0,11.0,5.0,12.0,61.0,35.0,99.0,37.0,1721.0,1647.0,1578.0,1783.0,1553.0,1580.0,1734.0,1762.0,1828.0,1803.0,1788.0,1669.0,1665.0,1731.0,1841.0,1656.0
390007,3641.0,3721.0,3859.0,3868.0,3437.0,3657.0,3663.0,3504.0,3684.0,3718.0,3702.0,3504.0,3712.0,3693.0,3674.0,3742.0,1633.0,1405.0,1590.0,1453.0,1458.0,1540.0,1476.0,1430.0,1409.0,1344.0,1230.0,1352.0,1310.0,1412.0,1463.0,1233.0,825.0,732.0,701.0,700.0,792.0,654.0,795.0,826.0,637.0,809.0,729.0,628.0,941.0,704.0,712.0,808.0,54.0,0.0,18.0,7.0,10.0,15.0,43.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,68.0,0.0,20.0,28.0,12.0,1.0,20.0,41.0,74.0,0.0,25.0,38.0,39.0,0.0,9.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,73.0,38.0,126.0,24.0,60.0,245.0,234.0,53.0,79.0,107.0,34.0,135.0,155.0,13.0,69.0,2247.0,2274.0,2267.0,2418.0,2116.0,2291.0,2346.0,2206.0,2234.0,2292.0,2287.0,2193.0,2356.0,2306.0,2353.0,2255.0,1333.0,1128.0,1166.0,1123.0,1164.0,1263.0,1159.0,1095.0,1107.0,1040.0,1063.0,1079.0,1126.0,1021.0,1170.0,1013.0,560.0,508.0,494.0,498.0,541.0,481.0,539.0,577.0,419.0,590.0,492.0,394.0,635.0,405.0,466.0,509.0,32.0,0.0,9.0,7.0,10.0,3.0,43.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,68.0,0.0,0.0,28.0,6.0,0.0,20.0,41.0,71.0,0.0,23.0,38.0,24.0,0.0,9.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,45.0,0.0,70.0,24.0,30.0,125.0,89.0,13.0,38.0,63.0,0.0,101.0,38.0,0.0,31.0,4283.0,4033.0,3971.0,4116.0,3883.0,4074.0,4212.0,4072.0,3814.0,4031.0,3905.0,3689.0,4256.0,3794.0,3992.0,3817.0
390008,408.0,420.0,447.0,402.0,337.0,397.0,324.0,676.0,542.0,397.0,528.0,512.0,502.0,364.0,627.0,592.0,1312.0,1541.0,1343.0,1466.0,1525.0,1181.0,1548.0,1489.0,1430.0,1500.0,1626.0,1552.0,1651.0,1499.0,1304.0,1583.0,31.0,86.0,26.0,56.0,60.0,51.0,53.0,40.0,39.0,61.0,32.0,55.0,152.0,38.0,117.0,8.0,0.0,48.0,6.0,0.0,27.0,3.0,99.0,14.0,0.0,6.0,0.0,0.0,0.0,28.0,15.0,0.0,37.0,33.0,10.0,60.0,40.0,25.0,16.0,15.0,9.0,6.0,0.0,30.0,9.0,24.0,6.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,13.0,0.0,74.0,74.0,104.0,62.0,15.0,130.0,0.0,42.0,100.0,5.0,16.0,65.0,28.0,297.0,200.0,285.0,244.0,230.0,280.0,234.0,348.0,363.0,228.0,210.0,386.0,384.0,203.0,382.0,449.0,1118.0,1274.0,1159.0,1209.0,1315.0,1082.0,1278.0,1320.0,1221.0,1265.0,1341.0,1306.0,1316.0,1235.0,1068.0,1337.0,31.0,48.0,7.0,28.0,40.0,30.0,0.0,18.0,39.0,54.0,3.0,36.0,46.0,16.0,19.0,8.0,0.0,48.0,0.0,0.0,27.0,0.0,99.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,37.0,33.0,10.0,34.0,0.0,2.0,0.0,15.0,9.0,0.0,0.0,29.0,7.0,7.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,54.0,73.0,74.0,38.0,2.0,7.0,0.0,25.0,69.0,0.0,16.0,51.0,27.0,1503.0,1604.0,1461.0,1569.0,1685.0,1468.0,1649.0,1717.0,1639.0,1553.0,1579.0,1826.0,1753.0,1477.0,1541.0,1841.0
390009,1698.0,1506.0,1495.0,1565.0,1843.0,1479.0,1639.0,1678.0,1723.0,1810.0,1682.0,1452.0,1644.0,1782.0,1430.0,1650.0,2288.0,2158.0,2011.0,2253.0,2200.0,2437.0,2197.0,2099.0,2022.0,2165.0,2113.0,2281.0,2328.0,2091.0,2125.0,2204.0,1819.0,1661.0,1804.0,1699.0,1796.0,1841.0,1777.0,1698.0,1749.0,1734.0,1742.0,1677.0,1716.0,1782.0,1653.0,1773.0,0.0,0.0,0.0,5.0,0.0,6.0,36.0,0.0,0.0,15.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,43.0,41.0,0.0,0.0,23.0,102.0,14.0,17.0,49.0,58.0,30.0,32.0,33.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,73.0,79.0,19.0,64.0,56.0,32.0,44.0,59.0,3.0,17.0,18.0,43.0,25.0,1539.0,1416.0,1414.0,1346.0,1516.0,1382.0,1416.0,1508.0,1557.0,1559.0,1606.0,1302.0,1444.0,1433.0,1291.0,1466.0,2132.0,1929.0,1848.0,2075.0,2044.0,2243.0,2088.0,2007.0,1958.0,2045.0,2075.0,1967.0,2212.0,1995.0,1973.0,2079.0,1769.0,1661.0,1739.0,1662.0,1752.0,1778.0,1777.0,1690.0,1712.0,1671.0,1717.0,1661.0,1661.0,1745.0,1612.0,1730.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,0.0,0.0,15.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,23.0,95.0,14.0,0.0,49.0,58.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,14.0,73.0,3.0,19.0,33.0,56.0,32.0,44.0,47.0,3.0,14.0,0.0,8.0,25.0,5440.0,5044.0,5056.0,5156.0,5315.0,5451.0,5445.0,5275.0,5259.0,5383.0,5503.0,4950.0,5371.0,5205.0,4884.0,5300.0
390010,404.0,414.0,456.0,565.0,359.0,330.0,442.0,502.0,444.0,427.0,472.0,474.0,360.0,493.0,392.0,361.0,1157.0,1119.0,1093.0,1180.0,1137.0,942.0,1227.0,1175.0,1151.0,1116.0,1311.0,1086.0,1151.0,1192.0,1168.0,1167.0,49.0,50.0,0.0,17.0,141.0,18.0,0.0,78.0,0.0,32.0,62.0,60.0,71.0,81.0,30.0,81.0,0.0,10.0,0.0,0.0,0.0,17.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,7.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,42.0,20.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,26.0,20.0,54.0,50.0,37.0,1.0,45.0,29.0,29.0,18.0,58.0,79.0,97.0,42.0,105.0,230.0,203.0,268.0,334.0,218.0,192.0,165.0,267.0,211.0,254.0,263.0,145.0,198.0,258.0,119.0,164.0,974.0,928.0,965.0,1036.0,982.0,728.0,971.0,966.0,900.0,929.0,1060.0,897.0,902.0,1003.0,917.0,950.0,0.0,24.0,0.0,11.0,87.0,12.0,0.0,55.0,0.0,32.0,30.0,13.0,55.0,10.0,7.0,81.0,0.0,10.0,0.0,0.0,0.0,13.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,42.0,20.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,4.0,54.0,4.0,3.0,0.0,29.0,3.0,29.0,18.0,41.0,58.0,33.0,42.0,44.0,1246.0,1169.0,1237.0,1435.0,1291.0,948.0,1136.0,1358.0,1114.0,1244.0,1371.0,1111.0,1255.0,1324.0,1085.0,1345.0
