Precinct,0_HISP_noise,1_HISP_noise,2_HISP_noise,3_HISP_noise,4_HISP_noise,5_HISP_noise,6_HISP_noise,7_HISP_noise,8_HISP_noise,9_HISP_noise,10_HISP_noise,11_HISP_noise,12_HISP_noise,13_HISP_noise,14_HISP_noise,15_HISP_noise,0_NHWHITE_noise,1_NHWHITE_noise,2_NHWHITE_noise,3_NHWHITE_noise,4_NHWHITE_noise,5_NHWHITE_noise,6_NHWHITE_noise,7_NHWHITE_noise,8_NHWHITE_noise,9_NHWHITE_noise,10_NHWHITE_noise,11_NHWHITE_noise,12_NHWHITE_noise,13_NHWHITE_noise,14_NHWHITE_noise,15_NHWHITE_noise,0_NHBLACK_noise,1_NHBLACK_noise,2_NHBLACK_noise,3_NHBLACK_noise,4_NHBLACK_noise,5_NHBLACK_noise,6_NHBLACK_noise,7_NHBLACK_noise,8_NHBLACK_noise,9_NHBLACK_noise,10_NHBLACK_noise,11_NHBLACK_noise,12_NHBLACK_noise,13_NHBLACK_noise,14_NHBLACK_noise,15_NHBLACK_noise,0_NHAMIN_noise,1_NHAMIN_noise,2_NHAMIN_noise,3_NHAMIN_noise,4_NHAMIN_noise,5_NHAMIN_noise,6_NHAMIN_noise,7_NHAMIN_noise,8_NHAMIN_noise,9_NHAMIN_noise,10_NHAMIN_noise,11_NHAMIN_noise,12_NHAMIN_noise,13_NHAMIN_noise,14_NHAMIN_noise,15_NHAMIN_noise,0_NHASIAN_noise,1_NHASIAN_noise,2_NHASIAN_noise,3_NHASIAN_noise,4_NHASIAN_noise,5_NHASIAN_noise,6_NHASIAN_noise,7_NHASIAN_noise,8_NHASIAN_noise,9_NHASIAN_noise,10_NHASIAN_noise,11_NHASIAN_noise,12_NHASIAN_noise,13_NHASIAN_noise,14_NHASIAN_noise,15_NHASIAN_noise,0_NHHAWAIIAN_noise,1_NHHAWAIIAN_noise,2_NHHAWAIIAN_noise,3_NHHAWAIIAN_noise,4_NHHAWAIIAN_noise,5_NHHAWAIIAN_noise,6_NHHAWAIIAN_noise,7_NHHAWAIIAN_noise,8_NHHAWAIIAN_noise,9_NHHAWAIIAN_noise,10_NHHAWAIIAN_noise,11_NHHAWAIIAN_noise,12_NHHAWAIIAN_noise,13_NHHAWAIIAN_noise,14_NHHAWAIIAN_noise,15_NHHAWAIIAN_noise,0_NHOTHER_noise,1_NHOTHER_noise,2_NHOTHER_noise,3_NHOTHER_noise,4_NHOTHER_noise,5_NHOTHER_noise,6_NHOTHER_noise,7_NHOTHER_noise,8_NHOTHER_noise,9_NHOTHER_noise,10_NHOTHER_noise,11_NHOTHER_noise,12_NHOTHER_noise,13_NHOTHER_noise,14_NHOTHER_noise,15_NHOTHER_noise,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,0_AMINVAP_noise,1_AMINVAP_noise,2_AMINVAP_noise,3_AMINVAP_noise,4_AMINVAP_noise,5_AMINVAP_noise,6_AMINVAP_noise,7_AMINVAP_noise,8_AMINVAP_noise,9_AMINVAP_noise,10_AMINVAP_noise,11_AMINVAP_noise,12_AMINVAP_noise,13_AMINVAP_noise,14_AMINVAP_noise,15_AMINVAP_noise,0_ASIANVAP_noise,1_ASIANVAP_noise,2_ASIANVAP_noise,3_ASIANVAP_noise,4_ASIANVAP_noise,5_ASIANVAP_noise,6_ASIANVAP_noise,7_ASIANVAP_noise,8_ASIANVAP_noise,9_ASIANVAP_noise,10_ASIANVAP_noise,11_ASIANVAP_noise,12_ASIANVAP_noise,13_ASIANVAP_noise,14_ASIANVAP_noise,15_ASIANVAP_noise,0_HAWAIIANVAP_noise,1_HAWAIIANVAP_noise,2_HAWAIIANVAP_noise,3_HAWAIIANVAP_noise,4_HAWAIIANVAP_noise,5_HAWAIIANVAP_noise,6_HAWAIIANVAP_noise,7_HAWAIIANVAP_noise,8_HAWAIIANVAP_noise,9_HAWAIIANVAP_noise,10_HAWAIIANVAP_noise,11_HAWAIIANVAP_noise,12_HAWAIIANVAP_noise,13_HAWAIIANVAP_noise,14_HAWAIIANVAP_noise,15_HAWAIIANVAP_noise,0_OTHERVAP_noise,1_OTHERVAP_noise,2_OTHERVAP_noise,3_OTHERVAP_noise,4_OTHERVAP_noise,5_OTHERVAP_noise,6_OTHERVAP_noise,7_OTHERVAP_noise,8_OTHERVAP_noise,9_OTHERVAP_noise,10_OTHERVAP_noise,11_OTHERVAP_noise,12_OTHERVAP_noise,13_OTHERVAP_noise,14_OTHERVAP_noise,15_OTHERVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise
610001.0,2070.0,1968.0,2023.0,1945.0,2087.0,2051.0,2024.0,2049.0,2215.0,2097.0,2131.0,1954.0,1926.0,2008.0,2076.0,2048.0,1215.0,1272.0,1232.0,1273.0,1194.0,1159.0,1195.0,1143.0,1218.0,1220.0,1213.0,1223.0,1265.0,1229.0,1248.0,1257.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,42.0,0.0,62.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,23.0,34.0,0.0,1.0,28.0,0.0,26.0,52.0,0.0,0.0,35.0,2.0,7.0,55.0,15.0,37.0,11.0,5.0,5.0,34.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,22.0,1.0,0.0,0.0,9.0,0.0,5.0,5.0,1.0,0.0,3.0,0.0,0.0,1472.0,1428.0,1400.0,1377.0,1444.0,1504.0,1476.0,1440.0,1530.0,1510.0,1549.0,1431.0,1406.0,1457.0,1516.0,1465.0,1139.0,1187.0,1153.0,1203.0,1148.0,1092.0,1146.0,1129.0,1158.0,1139.0,1145.0,1165.0,1203.0,1186.0,1173.0,1235.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,42.0,0.0,62.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,28.0,0.0,26.0,52.0,0.0,0.0,21.0,2.0,7.0,32.0,15.0,2.0,11.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,22.0,1.0,0.0,0.0,9.0,0.0,5.0,5.0,1.0,0.0,3.0,0.0,0.0,2642.0,2624.0,2579.0,2654.0,2593.0,2597.0,2643.0,2635.0,2695.0,2748.0,2714.0,2620.0,2643.0,2647.0,2694.0,2709.0
610002.0,648.0,657.0,676.0,705.0,655.0,673.0,753.0,640.0,715.0,664.0,687.0,755.0,626.0,636.0,686.0,653.0,447.0,432.0,388.0,418.0,409.0,449.0,429.0,417.0,417.0,409.0,427.0,419.0,430.0,406.0,426.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,17.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,4.0,3.0,14.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,448.0,457.0,447.0,495.0,480.0,483.0,473.0,442.0,509.0,439.0,446.0,497.0,434.0,430.0,476.0,421.0,440.0,403.0,388.0,394.0,387.0,427.0,407.0,379.0,388.0,391.0,395.0,402.0,394.0,387.0,397.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,17.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,3.0,3.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,898.0,860.0,852.0,892.0,867.0,912.0,880.0,829.0,897.0,831.0,844.0,906.0,848.0,845.0,877.0,838.0
610003.0,5048.0,4989.0,4941.0,4932.0,5069.0,4939.0,5061.0,5017.0,5028.0,4975.0,4992.0,4980.0,4983.0,5023.0,5011.0,5005.0,346.0,437.0,349.0,377.0,355.0,357.0,448.0,390.0,428.0,397.0,487.0,446.0,364.0,389.0,482.0,309.0,0.0,15.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,8.0,17.0,6.0,15.0,10.0,0.0,12.0,39.0,0.0,0.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,22.0,9.0,19.0,17.0,0.0,0.0,0.0,7.0,17.0,0.0,38.0,43.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,37.0,0.0,14.0,48.0,0.0,4.0,0.0,18.0,4.0,14.0,0.0,0.0,38.0,0.0,3185.0,3191.0,3212.0,3172.0,3250.0,3252.0,3299.0,3222.0,3181.0,3177.0,3279.0,3180.0,3228.0,3144.0,3188.0,3171.0,236.0,305.0,278.0,304.0,248.0,305.0,310.0,284.0,268.0,309.0,367.0,328.0,252.0,301.0,315.0,258.0,0.0,15.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,8.0,0.0,6.0,11.0,0.0,0.0,12.0,22.0,0.0,0.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,12.0,0.0,19.0,17.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,37.0,0.0,14.0,48.0,0.0,4.0,0.0,7.0,4.0,14.0,0.0,0.0,2.0,0.0,3468.0,3554.0,3571.0,3498.0,3512.0,3630.0,3626.0,3510.0,3452.0,3516.0,3687.0,3547.0,3480.0,3451.0,3529.0,3447.0
610004.0,3551.0,3413.0,3378.0,3238.0,3551.0,3612.0,3581.0,3527.0,3464.0,3449.0,3553.0,3535.0,3534.0,3438.0,3464.0,3487.0,898.0,845.0,765.0,960.0,850.0,750.0,874.0,814.0,799.0,801.0,792.0,915.0,838.0,897.0,842.0,817.0,46.0,11.0,0.0,0.0,0.0,66.0,12.0,42.0,29.0,5.0,10.0,0.0,15.0,28.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,3.0,52.0,115.0,86.0,81.0,57.0,137.0,131.0,107.0,65.0,67.0,52.0,13.0,79.0,23.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,12.0,0.0,0.0,2.0,22.0,28.0,0.0,49.0,0.0,43.0,40.0,19.0,21.0,0.0,2470.0,2336.0,2387.0,2390.0,2426.0,2553.0,2512.0,2468.0,2388.0,2389.0,2466.0,2513.0,2367.0,2307.0,2388.0,2432.0,733.0,749.0,632.0,816.0,735.0,723.0,716.0,689.0,715.0,699.0,676.0,742.0,732.0,782.0,734.0,737.0,46.0,11.0,0.0,0.0,0.0,66.0,0.0,0.0,29.0,5.0,10.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,3.0,39.0,84.0,61.0,54.0,57.0,93.0,97.0,107.0,57.0,67.0,52.0,8.0,67.0,7.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,2.0,0.0,0.0,2.0,22.0,28.0,0.0,0.0,0.0,43.0,34.0,19.0,21.0,0.0,3287.0,3135.0,3105.0,3275.0,3215.0,3402.0,3343.0,3298.0,3239.0,3150.0,3219.0,3350.0,3156.0,3187.0,3163.0,3235.0
610005.0,1505.0,1415.0,1445.0,1476.0,1420.0,1470.0,1418.0,1434.0,1464.0,1429.0,1511.0,1421.0,1538.0,1476.0,1474.0,1480.0,51.0,83.0,50.0,54.0,35.0,9.0,77.0,50.0,50.0,30.0,26.0,0.0,53.0,96.0,47.0,16.0,8.0,0.0,0.0,21.0,55.0,2.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,14.0,19.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,31.0,18.0,30.0,5.0,17.0,9.0,9.0,0.0,0.0,0.0,13.0,0.0,30.0,0.0,0.0,960.0,928.0,871.0,949.0,962.0,944.0,878.0,928.0,942.0,866.0,954.0,937.0,953.0,934.0,967.0,916.0,34.0,38.0,40.0,36.0,34.0,4.0,32.0,22.0,41.0,14.0,0.0,0.0,0.0,96.0,47.0,16.0,8.0,0.0,0.0,21.0,55.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,14.0,19.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,18.0,30.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,13.0,0.0,30.0,0.0,0.0,1005.0,973.0,943.0,1063.0,1085.0,983.0,951.0,950.0,983.0,895.0,954.0,950.0,968.0,1100.0,1014.0,932.0
610006.0,2990.0,2947.0,2866.0,2895.0,2752.0,2994.0,2912.0,2843.0,2826.0,2953.0,2837.0,2807.0,2934.0,2919.0,2837.0,2922.0,80.0,91.0,29.0,3.0,99.0,59.0,47.0,22.0,87.0,46.0,85.0,62.0,118.0,88.0,64.0,49.0,0.0,0.0,29.0,28.0,3.0,0.0,2.0,0.0,37.0,0.0,17.0,1.0,28.0,33.0,0.0,13.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0,0.0,12.0,2.0,38.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,10.0,0.0,1.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,25.0,35.0,0.0,0.0,0.0,1999.0,2019.0,1948.0,1934.0,1918.0,2017.0,2003.0,2000.0,1948.0,2003.0,1982.0,1879.0,2026.0,2019.0,1924.0,1983.0,47.0,82.0,3.0,3.0,74.0,21.0,34.0,12.0,80.0,12.0,72.0,52.0,72.0,68.0,52.0,10.0,0.0,0.0,29.0,28.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,28.0,33.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0,0.0,8.0,2.0,33.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,25.0,35.0,0.0,0.0,0.0,2046.0,2108.0,1991.0,1973.0,1995.0,2039.0,2040.0,2035.0,2080.0,2048.0,2097.0,1985.0,2161.0,2163.0,1977.0,2006.0
610007.0,1312.0,1326.0,1330.0,1297.0,1249.0,1193.0,1287.0,1205.0,1265.0,1347.0,1215.0,1299.0,1277.0,1264.0,1289.0,1290.0,123.0,86.0,97.0,104.0,90.0,69.0,121.0,100.0,125.0,102.0,94.0,80.0,112.0,125.0,102.0,100.0,5.0,8.0,12.0,20.0,2.0,0.0,0.0,0.0,17.0,0.0,19.0,0.0,15.0,8.0,0.0,1.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,16.0,30.0,23.0,11.0,30.0,21.0,0.0,0.0,18.0,29.0,0.0,14.0,12.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,992.0,1042.0,998.0,993.0,949.0,940.0,989.0,950.0,950.0,991.0,967.0,974.0,1012.0,964.0,965.0,1008.0,123.0,77.0,86.0,104.0,89.0,65.0,121.0,100.0,114.0,88.0,94.0,76.0,105.0,118.0,99.0,84.0,5.0,8.0,12.0,20.0,0.0,0.0,0.0,0.0,17.0,0.0,15.0,0.0,11.0,7.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,16.0,30.0,23.0,11.0,30.0,19.0,0.0,0.0,18.0,29.0,0.0,14.0,12.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1136.0,1158.0,1127.0,1131.0,1068.0,1024.0,1111.0,1059.0,1099.0,1108.0,1076.0,1064.0,1141.0,1105.0,1064.0,1118.0
610008.0,1161.0,1115.0,1078.0,1058.0,1083.0,1146.0,1066.0,1113.0,1094.0,1040.0,1122.0,1062.0,1095.0,1018.0,1032.0,1103.0,41.0,18.0,35.0,25.0,28.0,50.0,63.0,47.0,35.0,34.0,6.0,25.0,33.0,21.0,2.0,36.0,17.0,0.0,9.0,16.0,17.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,9.0,16.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,5.0,9.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,0.0,0.0,740.0,732.0,713.0,754.0,682.0,799.0,753.0,742.0,726.0,729.0,761.0,684.0,761.0,733.0,706.0,773.0,26.0,16.0,19.0,25.0,26.0,41.0,30.0,32.0,32.0,18.0,0.0,12.0,1.0,21.0,2.0,32.0,17.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,0.0,0.0,798.0,756.0,749.0,799.0,726.0,849.0,811.0,774.0,774.0,747.0,761.0,700.0,768.0,774.0,708.0,828.0
610009.0,6830.0,6657.0,6758.0,6803.0,6816.0,6656.0,6821.0,6692.0,6853.0,6716.0,6839.0,6663.0,6813.0,6923.0,6644.0,6633.0,288.0,174.0,214.0,292.0,268.0,346.0,189.0,260.0,215.0,168.0,147.0,288.0,280.0,263.0,288.0,269.0,44.0,37.0,96.0,70.0,39.0,0.0,0.0,0.0,43.0,0.0,45.0,24.0,57.0,10.0,0.0,69.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,14.0,0.0,1.0,12.0,10.0,73.0,57.0,8.0,31.0,29.0,183.0,0.0,0.0,33.0,46.0,0.0,7.0,1.0,7.0,1.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,80.0,51.0,1.0,4.0,0.0,28.0,27.0,19.0,3.0,0.0,0.0,0.0,0.0,6.0,4566.0,4564.0,4669.0,4614.0,4695.0,4603.0,4652.0,4641.0,4562.0,4697.0,4463.0,4602.0,4655.0,4698.0,4513.0,4450.0,165.0,119.0,174.0,240.0,147.0,184.0,175.0,242.0,187.0,123.0,133.0,216.0,205.0,170.0,259.0,226.0,38.0,33.0,71.0,68.0,14.0,0.0,0.0,0.0,43.0,0.0,35.0,2.0,16.0,0.0,0.0,67.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,8.0,10.0,49.0,55.0,8.0,31.0,29.0,68.0,0.0,0.0,33.0,46.0,0.0,7.0,1.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32.0,0.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4818.0,4771.0,4975.0,4985.0,4885.0,4859.0,4827.0,4911.0,4825.0,4866.0,4657.0,4827.0,4877.0,4869.0,4780.0,4781.0
610010.0,4846.0,4663.0,4884.0,4813.0,4756.0,4767.0,4762.0,4649.0,4720.0,4755.0,4643.0,4728.0,4791.0,4797.0,4824.0,4837.0,55.0,23.0,205.0,50.0,123.0,73.0,58.0,64.0,96.0,75.0,132.0,91.0,131.0,120.0,106.0,109.0,8.0,0.0,2.0,0.0,0.0,3.0,4.0,9.0,0.0,0.0,118.0,35.0,10.0,54.0,38.0,15.0,7.0,0.0,0.0,55.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,37.0,0.0,8.0,47.0,18.0,19.0,39.0,5.0,23.0,0.0,54.0,10.0,74.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,6.0,9.0,34.0,10.0,0.0,7.0,29.0,38.0,0.0,21.0,0.0,69.0,3283.0,3147.0,3207.0,3186.0,3158.0,3126.0,3170.0,3039.0,3169.0,3142.0,3123.0,3128.0,3165.0,3134.0,3274.0,3135.0,44.0,0.0,128.0,34.0,79.0,46.0,28.0,63.0,42.0,69.0,71.0,74.0,81.0,89.0,104.0,95.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,0.0,0.0,118.0,35.0,0.0,54.0,38.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,37.0,0.0,8.0,17.0,12.0,2.0,16.0,5.0,23.0,0.0,54.0,10.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,0.0,0.0,9.0,30.0,10.0,0.0,7.0,29.0,3.0,0.0,21.0,0.0,8.0,3358.0,3156.0,3402.0,3275.0,3245.0,3201.0,3244.0,3123.0,3227.0,3223.0,3371.0,3240.0,3300.0,3308.0,3490.0,3239.0
