GEOID,HISP,male,female,VAP,HVAP,NH_WHITEPOP,NH_BLACKPOP,NH_AMINPOP,NH_ASIANPOP,NH_HAWAIIANPOP,NH_OTHERPOP,NH_WVAP,NH_BVAP,NH_AMINVAP,NH_ASIANVAP,NH_HAWAIIANVAP,NH_OTHERVAP,TOTPOP
481130001001001,0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2
481130001001004,2,30.0,34.0,45.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,64
481130001001006,132,242.0,265.0,441.0,90.0,307.0,38.0,0.0,20.0,1.0,9.0,291.0,35.0,0.0,15.0,1.0,9.0,507
481130001001007,13,65.0,68.0,124.0,10.0,100.0,14.0,1.0,3.0,0.0,2.0,94.0,14.0,1.0,3.0,0.0,2.0,133
481130001001008,0,5.0,11.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,16
481130001001009,0,32.0,39.0,58.0,0.0,64.0,0.0,0.0,2.0,0.0,5.0,55.0,0.0,0.0,2.0,0.0,1.0,71
481130001001010,2,20.0,17.0,28.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,37
481130001001011,3,28.0,30.0,36.0,3.0,53.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,58
481130001001012,3,24.0,22.0,34.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,46
481130001001013,0,3.0,5.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8
481130001001014,48,28.0,35.0,49.0,34.0,13.0,2.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,63
481130001001016,1,7.0,14.0,17.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,21
481130001001017,1,35.0,32.0,51.0,1.0,65.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,1.0,67
481130001001018,1,29.0,22.0,36.0,0.0,44.0,3.0,0.0,0.0,0.0,3.0,33.0,1.0,0.0,0.0,0.0,2.0,51
481130001001019,6,29.0,30.0,43.0,2.0,51.0,0.0,0.0,0.0,0.0,2.0,39.0,0.0,0.0,0.0,0.0,2.0,59
481130001001021,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
481130001001022,2,13.0,13.0,17.0,1.0,21.0,0.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,1.0,0.0,0.0,26
481130001001023,2,25.0,27.0,37.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,52
481130001001024,4,20.0,17.0,29.0,2.0,30.0,0.0,0.0,3.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,37
481130001001025,9,25.0,24.0,40.0,7.0,32.0,0.0,0.0,6.0,0.0,2.0,30.0,0.0,0.0,3.0,0.0,0.0,49
481130001002000,136,182.0,189.0,306.0,94.0,195.0,26.0,3.0,1.0,0.0,10.0,178.0,25.0,3.0,1.0,0.0,5.0,371
481130001002001,0,17.0,17.0,24.0,0.0,31.0,0.0,0.0,1.0,0.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0,34
481130001002002,2,25.0,25.0,37.0,2.0,47.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,50
481130001002003,5,27.0,31.0,46.0,3.0,50.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,2.0,58
481130001002005,0,19.0,13.0,24.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,32
481130001002007,2,5.0,3.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,8
481130001002008,5,14.0,10.0,15.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,24
481130001002013,3,24.0,29.0,44.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,53
481130001002014,1,21.0,20.0,36.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,41
481130001002015,2,21.0,30.0,45.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,51
481130001002016,3,27.0,26.0,42.0,2.0,46.0,4.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,53
481130001002017,2,8.0,7.0,12.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,15
481130001002018,3,29.0,31.0,46.0,3.0,52.0,0.0,0.0,5.0,0.0,0.0,38.0,0.0,0.0,5.0,0.0,0.0,60
481130001002019,12,35.0,30.0,45.0,6.0,51.0,0.0,2.0,0.0,0.0,0.0,37.0,0.0,2.0,0.0,0.0,0.0,65
