GEOID10,precinct_assignment
483550054062119,3550127
483550054062122,3550127
483550059001077,3550012
483550058022000,3550010
483550051021008,3550019
483550062001003,3550019
483550062001203,3550019
483550051021104,3550019
483550054061083,3550016
483550051021011,3550019
483550062001021,3550019
483550062001109,3550019
483550062001125,3550019
483550031011002,3550018
483550058022155,3550023
483550062001086,3550019
483550059002039,3550012
483550037003000,3550009
483550063001158,3550103
483550063002036,3550111
483550054172024,3550126
483550058022043,3550010
483550054062117,3550127
483550063001011,3550103
483550059001259,3550036
483550062001118,3550019
483550030023040,3550008
483550058022046,3550010
483550062001106,3550019
483550063002001,3550111
483550037003023,3550009
483550054121029,3550029
483550054091014,3550003
483550062001195,3550019
483550062002064,3550040
483550054062118,3550127
483550062002002,3550040
483550062001196,3550019
483550059001148,3550036
483550062003017,3550081
483550062001227,3550019
483550054062141,3550127
483550054121030,3550029
483550063001019,3550103
483550062001075,3550019
483550062001201,3550019
483550037003005,3550009
483550031011021,3550006
483550051022000,3550019
483550030011000,3550091
483550062001144,3550019
483550051021000,3550019
483550061003014,3550036
483550063001294,3550001
483550058022156,3550023
483550062003016,3550018
483550063001025,3550103
483550062001051,3550019
483550030023041,3550008
483550062001133,3550019
483550058022039,3550010
483550060002251,3550014
483550063001024,3550103
483550062001062,3550019
483559900000008,3550019
483550051022032,3550019
483550032021035,3550008
483550029001024,3550091
483550062001031,3550019
483550062001065,3550019
483550062001066,3550019
483550062001026,3550019
483550054062116,3550127
483550051021021,3550019
483550032022024,3550008
483550054062120,3550127
483550054062006,3550127
483550058022106,3550011
483550062001202,3550019
483550060002219,3550022
483550063001150,3550103
483550054062136,3550127
483550054041016,3550126
483550062001173,3550019
483550030023005,3550008
483550062001130,3550019
483550058022040,3550010
483550062001104,3550019
483550063001060,3550103
483550062001226,3550019
483550031011011,3550018
483550051021024,3550019
483550030022000,3550006
483550031014002,3550117
483550062003046,3550081
483550054063007,3550127
483550031011000,3550018
483550063001008,3550103
483550030023006,3550008
483550054062139,3550018
483550058022044,3550010
483550063001021,3550103
483550037002006,3550009
483550051021018,3550019
483550054062074,3550127
483550058013001,3550107
483550062001083,3550019
483550062001200,3550019
483550031011001,3550018
483550064002039,3550019
483550058022033,3550010
483550054062123,3550018
483550063001000,3550103
483550051022001,3550019
483550051021023,3550019
483550031022005,3550126
483550051022043,3550019
483550062001228,3550019
483550062001048,3550019
483550062001124,3550019
483550062001154,3550019
483550062001100,3550019
483550062001117,3550019
483550062001037,3550019
483550062001102,3550019
483550029001000,3550018
483550060002261,3550014
483550054041019,3550126
483550063001066,3550103
483550054041017,3550126
483550058012000,3550107
483550059002032,3550108
483550062001139,3550019
483550062001116,3550019
483550058022115,3550011
483550062001211,3550019
483550031013017,3550018
483550062001096,3550019
483550062001079,3550019
483550063001151,3550103
483550058022048,3550010
483550062001197,3550019
483550051022046,3550019
483550051022031,3550019
483550030022010,3550018
483550059002028,3550012
483550062001115,3550019
483550063001033,3550103
483550063001295,3550001
483550037002005,3550009
483550058022042,3550010
483550062001147,3550019
483550027054003,3550092A
483550058022006,3550010
483550054161027,3550127
483550054062132,3550127
483550054062007,3550127
483550054041018,3550126
483550062001120,3550019
483550062001136,3550019
483559900000006,3550019
483550062001222,3550019
483550031011016,3550006
483550051022047,3550019
483550051022033,3550019
483550051021103,3550019
483550063001153,3550103
483550062001206,3550019
483550054072009,3550003
483550062001155,3550081
483550063001029,3550103
483550030012025,3550018
483550062001071,3550019
483550062001011,3550019
483550054063008,3550127
483550031011010,3550018
483550062001000,3550019
483550054061084,3550114
483550058022009,3550010
483550062001038,3550019
483550063002000,3550111
483550062001054,3550019
483550058022160,3550023
483550051022044,3550019
483550058013002,3550107
483550062003014,3550081
483550051021042,3550019
483550051022037,3550019
483550062001230,3550019
483550058022150,3550023
483550063001296,3550019
483550063001052,3550103
483550062002074,3550040
483550062001006,3550019
483550027044001,3550091
483550062001150,3550019
483550031022020,3550126
483550062001137,3550019
483550054063000,3550127
483550051021026,3550019
483550062003001,3550081
