Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,1162.0,1171.0,1041.0,1138.0,1094.0,1129.0,1131.0,1038.0,1108.0,1078.0,1059.0,1084.0,1190.0,1304.0,1125.0,987.0,1054.0,1194.0,1094.0,1146.0,466.0,381.0,541.0,305.0,399.0,322.0,362.0,342.0,415.0,311.0,390.0,398.0,457.0,437.0,457.0,347.0,439.0,446.0,384.0,369.0,241.0,423.0,462.0,400.0,541.0,429.0,448.0,195.0,335.0,430.0,463.0,452.0,456.0,372.0,394.0,348.0,496.0,524.0,383.0,397.0,1938.0,2030.0,2283.0,1931.0,2089.0,1948.0,2026.0,1685.0,1858.0,1936.0,2022.0,1971.0,2232.0,2163.0,2114.0,1682.0,2036.0,2197.0,1934.0,2117.0
1131001,1005.0,856.0,963.0,800.0,766.0,897.0,925.0,991.0,1230.0,1097.0,1124.0,808.0,1187.0,1268.0,795.0,1101.0,1121.0,1223.0,718.0,930.0,329.0,155.0,162.0,334.0,303.0,340.0,429.0,230.0,128.0,363.0,282.0,461.0,288.0,221.0,260.0,279.0,225.0,186.0,67.0,349.0,169.0,195.0,200.0,167.0,152.0,160.0,272.0,134.0,231.0,263.0,115.0,217.0,200.0,104.0,0.0,181.0,198.0,83.0,194.0,139.0,1726.0,1228.0,1325.0,1348.0,1221.0,1397.0,1654.0,1355.0,1700.0,1822.0,1613.0,1530.0,1748.0,1593.0,1078.0,1561.0,1579.0,1492.0,979.0,1418.0
1131002,2478.0,2162.0,2038.0,2113.0,2025.0,2108.0,2064.0,2127.0,2128.0,2111.0,2321.0,2179.0,2246.0,2229.0,2191.0,2267.0,2264.0,2066.0,2358.0,2164.0,839.0,739.0,649.0,681.0,902.0,739.0,820.0,707.0,703.0,755.0,570.0,681.0,869.0,671.0,772.0,642.0,762.0,777.0,831.0,629.0,239.0,425.0,417.0,509.0,493.0,391.0,345.0,288.0,385.0,460.0,453.0,516.0,467.0,500.0,341.0,562.0,447.0,734.0,387.0,478.0,3658.0,3367.0,3313.0,3333.0,3469.0,3257.0,3357.0,3122.0,3305.0,3347.0,3428.0,3376.0,3701.0,3492.0,3509.0,3600.0,3607.0,3645.0,3798.0,3289.0
1131003,1110.0,790.0,1048.0,1258.0,455.0,1131.0,865.0,1016.0,860.0,1098.0,929.0,1019.0,933.0,909.0,998.0,727.0,1016.0,888.0,704.0,1066.0,526.0,535.0,531.0,556.0,481.0,638.0,378.0,486.0,725.0,558.0,612.0,593.0,608.0,602.0,542.0,547.0,389.0,725.0,664.0,582.0,2434.0,2312.0,2365.0,2096.0,2340.0,2312.0,2357.0,2358.0,2341.0,2459.0,2345.0,2302.0,2336.0,2365.0,2379.0,2313.0,2312.0,2308.0,2390.0,2451.0,4104.0,3764.0,4259.0,4078.0,3461.0,4321.0,3885.0,3891.0,4031.0,4318.0,3989.0,4070.0,3985.0,4086.0,3945.0,3858.0,3893.0,4019.0,4000.0,4280.0
1131004,354.0,389.0,340.0,426.0,394.0,562.0,333.0,506.0,426.0,373.0,374.0,379.0,177.0,420.0,347.0,412.0,375.0,256.0,409.0,314.0,897.0,1071.0,935.0,1122.0,1107.0,1114.0,943.0,956.0,1108.0,1175.0,963.0,1033.0,1019.0,1088.0,1015.0,883.0,1038.0,1081.0,1006.0,954.0,101.0,159.0,174.0,134.0,185.0,170.0,151.0,126.0,91.0,163.0,200.0,131.0,132.0,132.0,30.0,197.0,302.0,125.0,138.0,89.0,1586.0,1619.0,1693.0,1816.0,1729.0,1938.0,1446.0,1620.0,1811.0,1725.0,1685.0,1708.0,1411.0,1644.0,1586.0,1777.0,1715.0,1526.0,1666.0,1445.0
1131005,941.0,1116.0,1124.0,1049.0,820.0,1047.0,826.0,1181.0,880.0,969.0,1055.0,850.0,979.0,1083.0,1005.0,1025.0,931.0,878.0,1209.0,1218.0,1193.0,1424.0,1264.0,1302.0,1130.0,1245.0,1284.0,1238.0,1171.0,1165.0,1158.0,1292.0,1195.0,1208.0,1240.0,1210.0,1261.0,1218.0,1208.0,1111.0,640.0,593.0,629.0,741.0,599.0,509.0,712.0,617.0,592.0,591.0,611.0,620.0,580.0,642.0,663.0,558.0,655.0,482.0,667.0,426.0,2877.0,3312.0,3152.0,3093.0,2843.0,2864.0,2951.0,3076.0,2664.0,2794.0,2893.0,2882.0,2997.0,3163.0,3001.0,2921.0,3005.0,2578.0,3206.0,2801.0
1131006,101.0,49.0,97.0,56.0,95.0,114.0,195.0,39.0,86.0,0.0,58.0,189.0,48.0,126.0,98.0,102.0,117.0,61.0,177.0,135.0,1522.0,1452.0,1444.0,1621.0,1567.0,1553.0,1498.0,1534.0,1447.0,1606.0,1591.0,1421.0,1448.0,1558.0,1574.0,1571.0,1533.0,1482.0,1516.0,1582.0,28.0,41.0,21.0,85.0,72.0,0.0,74.0,11.0,110.0,53.0,83.0,4.0,0.0,61.0,111.0,57.0,15.0,0.0,28.0,71.0,1651.0,1542.0,1580.0,1810.0,1734.0,1722.0,1789.0,1664.0,1643.0,1659.0,1732.0,1614.0,1653.0,1798.0,1783.0,1730.0,1665.0,1547.0,1779.0,1793.0
1131007,12.0,11.0,84.0,0.0,16.0,31.0,88.0,0.0,21.0,0.0,34.0,46.0,27.0,58.0,14.0,24.0,39.0,0.0,63.0,0.0,385.0,353.0,379.0,366.0,312.0,370.0,291.0,341.0,428.0,365.0,338.0,337.0,330.0,323.0,300.0,286.0,263.0,384.0,433.0,324.0,0.0,9.0,0.0,63.0,6.0,1.0,14.0,16.0,24.0,35.0,37.0,17.0,0.0,0.0,32.0,0.0,34.0,0.0,2.0,0.0,397.0,373.0,463.0,530.0,334.0,414.0,415.0,361.0,473.0,406.0,409.0,400.0,387.0,400.0,346.0,310.0,336.0,384.0,501.0,324.0
1131008,1256.0,966.0,822.0,1127.0,1083.0,966.0,1201.0,645.0,908.0,1340.0,916.0,1100.0,975.0,817.0,878.0,861.0,1296.0,856.0,780.0,1003.0,724.0,487.0,702.0,850.0,600.0,678.0,612.0,644.0,675.0,841.0,722.0,834.0,357.0,748.0,655.0,1043.0,656.0,720.0,664.0,819.0,238.0,46.0,66.0,89.0,228.0,126.0,0.0,368.0,35.0,109.0,117.0,151.0,114.0,105.0,102.0,127.0,329.0,118.0,213.0,78.0,2230.0,1515.0,1983.0,2151.0,1912.0,1770.0,1903.0,1665.0,1685.0,2377.0,1881.0,2142.0,1646.0,1778.0,1726.0,2153.0,2382.0,1800.0,1821.0,2101.0
1131009,1719.0,1929.0,1701.0,2005.0,1752.0,1851.0,1689.0,1729.0,1620.0,1786.0,1584.0,1808.0,1772.0,1797.0,2208.0,1842.0,1906.0,1755.0,1753.0,1693.0,837.0,744.0,573.0,712.0,696.0,638.0,773.0,671.0,631.0,719.0,485.0,506.0,696.0,680.0,703.0,637.0,674.0,722.0,779.0,658.0,456.0,445.0,415.0,337.0,496.0,422.0,448.0,542.0,584.0,501.0,507.0,431.0,497.0,473.0,519.0,123.0,438.0,578.0,547.0,434.0,3443.0,3519.0,3347.0,3411.0,3328.0,3392.0,3346.0,3383.0,3168.0,3316.0,3014.0,3121.0,3264.0,3787.0,3858.0,3042.0,3337.0,3431.0,3554.0,3155.0
