Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,807.0,886.0,897.0,797.0,934.0,825.0,897.0,850.0,939.0,837.0,871.0,767.0,843.0,872.0,809.0,1022.0,967.0,931.0,867.0,895.0,349.0,358.0,325.0,348.0,267.0,404.0,321.0,174.0,293.0,315.0,333.0,218.0,296.0,328.0,395.0,278.0,234.0,395.0,335.0,278.0,653.0,576.0,522.0,696.0,704.0,676.0,563.0,671.0,674.0,717.0,649.0,759.0,765.0,655.0,642.0,563.0,652.0,603.0,604.0,774.0,1827.0,1875.0,1912.0,2017.0,1987.0,1919.0,1856.0,1756.0,2067.0,1943.0,1919.0,1862.0,2008.0,1960.0,1908.0,1937.0,1959.0,1983.0,1826.0,2047.0
1131001,584.0,913.0,638.0,740.0,635.0,766.0,772.0,727.0,787.0,559.0,689.0,717.0,654.0,741.0,729.0,796.0,678.0,635.0,613.0,790.0,291.0,322.0,317.0,302.0,289.0,312.0,303.0,367.0,313.0,323.0,295.0,296.0,312.0,303.0,327.0,334.0,290.0,321.0,101.0,332.0,395.0,401.0,398.0,382.0,469.0,398.0,297.0,399.0,367.0,441.0,378.0,321.0,330.0,373.0,414.0,432.0,346.0,256.0,376.0,411.0,1428.0,1685.0,1432.0,1510.0,1440.0,1626.0,1528.0,1572.0,1643.0,1387.0,1446.0,1423.0,1465.0,1465.0,1554.0,1634.0,1532.0,1377.0,1271.0,1618.0
1131002,1701.0,1982.0,1907.0,1949.0,1864.0,1767.0,1740.0,1769.0,1957.0,1858.0,1939.0,1880.0,1956.0,1810.0,1921.0,1804.0,1805.0,1845.0,1788.0,1970.0,471.0,453.0,395.0,554.0,501.0,524.0,538.0,547.0,571.0,547.0,458.0,601.0,499.0,601.0,621.0,534.0,521.0,548.0,543.0,540.0,932.0,741.0,919.0,865.0,875.0,864.0,994.0,837.0,832.0,770.0,852.0,953.0,782.0,871.0,966.0,965.0,1054.0,951.0,910.0,966.0,3206.0,3508.0,3343.0,3483.0,3292.0,3237.0,3361.0,3172.0,3439.0,3235.0,3364.0,3631.0,3361.0,3471.0,3637.0,3377.0,3522.0,3429.0,3475.0,3673.0
1131003,442.0,689.0,580.0,535.0,725.0,563.0,516.0,631.0,587.0,631.0,583.0,511.0,556.0,541.0,647.0,582.0,670.0,515.0,609.0,560.0,801.0,714.0,726.0,713.0,728.0,785.0,700.0,729.0,696.0,770.0,724.0,617.0,764.0,723.0,777.0,740.0,625.0,708.0,688.0,700.0,2408.0,2409.0,2382.0,2364.0,2343.0,2257.0,2442.0,2351.0,2435.0,2429.0,2386.0,2432.0,2321.0,2357.0,2341.0,2396.0,2359.0,2449.0,2361.0,2334.0,3976.0,4187.0,4042.0,3970.0,4022.0,3955.0,4006.0,4081.0,4024.0,4120.0,3970.0,3955.0,3966.0,3942.0,4189.0,4008.0,4001.0,4007.0,3975.0,4047.0
1131004,347.0,248.0,235.0,221.0,257.0,267.0,178.0,251.0,222.0,262.0,248.0,263.0,152.0,192.0,262.0,176.0,293.0,301.0,264.0,177.0,1127.0,1041.0,1103.0,1048.0,1069.0,1037.0,1039.0,1077.0,1103.0,993.0,1055.0,1098.0,1065.0,1089.0,1081.0,1123.0,1122.0,1084.0,1079.0,1177.0,400.0,445.0,439.0,375.0,414.0,336.0,455.0,379.0,391.0,422.0,425.0,359.0,389.0,427.0,404.0,317.0,426.0,396.0,371.0,376.0,1921.0,1859.0,1919.0,1698.0,1869.0,1781.0,1744.0,1819.0,1810.0,1718.0,1821.0,1792.0,1655.0,1802.0,1787.0,1692.0,1917.0,1789.0,1805.0,1779.0
1131005,556.0,547.0,423.0,319.0,505.0,383.0,422.0,471.0,518.0,464.0,420.0,544.0,483.0,457.0,344.0,461.0,398.0,379.0,483.0,452.0,1494.0,1491.0,1550.0,1550.0,1553.0,1548.0,1544.0,1536.0,1551.0,1555.0,1464.0,1574.0,1569.0,1537.0,1583.0,1589.0,1500.0,1541.0,1531.0,1548.0,669.0,543.0,643.0,630.0,664.0,633.0,646.0,720.0,648.0,647.0,699.0,669.0,522.0,763.0,661.0,599.0,666.0,636.0,638.0,657.0,2898.0,2759.0,2764.0,2593.0,2741.0,2751.0,2716.0,2826.0,2812.0,2743.0,2745.0,2965.0,2694.0,2833.0,2669.0,2742.0,2701.0,2740.0,2795.0,2812.0
1131006,16.0,0.0,80.0,62.0,45.0,56.0,88.0,0.0,106.0,21.0,75.0,51.0,20.0,33.0,67.0,116.0,127.0,73.0,19.0,151.0,1394.0,1449.0,1367.0,1317.0,1303.0,1366.0,1459.0,1367.0,1280.0,1448.0,1567.0,1350.0,1325.0,1362.0,1431.0,1474.0,1395.0,1402.0,1316.0,1326.0,69.0,11.0,15.0,17.0,22.0,0.0,15.0,0.0,53.0,10.0,28.0,24.0,114.0,14.0,2.0,26.0,2.0,19.0,47.0,17.0,1486.0,1462.0,1462.0,1432.0,1370.0,1457.0,1586.0,1431.0,1441.0,1532.0,1719.0,1425.0,1555.0,1481.0,1542.0,1659.0,1580.0,1575.0,1393.0,1509.0
1131007,40.0,0.0,1.0,55.0,1.0,23.0,0.0,7.0,72.0,21.0,11.0,0.0,56.0,53.0,72.0,12.0,0.0,0.0,39.0,9.0,252.0,330.0,334.0,331.0,392.0,332.0,319.0,288.0,332.0,203.0,265.0,265.0,360.0,291.0,156.0,375.0,321.0,259.0,350.0,353.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,8.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,330.0,336.0,386.0,418.0,355.0,324.0,303.0,427.0,236.0,321.0,268.0,416.0,344.0,228.0,408.0,343.0,259.0,401.0,380.0
1131008,615.0,588.0,548.0,661.0,634.0,562.0,733.0,576.0,708.0,722.0,620.0,704.0,686.0,672.0,691.0,860.0,763.0,587.0,632.0,664.0,895.0,830.0,812.0,825.0,888.0,868.0,872.0,915.0,835.0,794.0,731.0,834.0,830.0,778.0,842.0,894.0,833.0,854.0,976.0,792.0,288.0,287.0,238.0,305.0,226.0,287.0,330.0,218.0,339.0,216.0,252.0,311.0,250.0,334.0,304.0,122.0,201.0,376.0,240.0,303.0,1879.0,1750.0,1656.0,1855.0,1849.0,1850.0,2171.0,1852.0,2010.0,1875.0,1635.0,1939.0,1944.0,1814.0,2005.0,2051.0,1926.0,1875.0,2057.0,1768.0
1131009,1204.0,1263.0,1435.0,1174.0,1164.0,1209.0,1287.0,1297.0,1257.0,1264.0,1269.0,1201.0,1087.0,1294.0,1287.0,1095.0,1235.0,1139.0,1217.0,1201.0,531.0,611.0,572.0,606.0,591.0,606.0,603.0,605.0,578.0,566.0,559.0,536.0,564.0,595.0,604.0,602.0,560.0,567.0,538.0,639.0,704.0,734.0,751.0,692.0,688.0,682.0,715.0,619.0,625.0,642.0,704.0,681.0,771.0,686.0,695.0,670.0,789.0,667.0,681.0,729.0,3021.0,3150.0,3298.0,3054.0,2949.0,3112.0,3152.0,3022.0,3034.0,3023.0,3034.0,3161.0,3095.0,3140.0,3201.0,2824.0,3097.0,2965.0,2920.0,3085.0
