Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,1094.0,1146.0,1097.0,1327.0,1072.0,1070.0,965.0,1042.0,1036.0,1242.0,987.0,914.0,1169.0,1070.0,1133.0,1125.0,1157.0,1142.0,1175.0,1174.0,432.0,540.0,364.0,485.0,350.0,492.0,324.0,417.0,538.0,421.0,311.0,504.0,316.0,341.0,471.0,405.0,438.0,363.0,340.0,429.0,482.0,389.0,510.0,317.0,451.0,355.0,460.0,435.0,499.0,403.0,466.0,342.0,365.0,347.0,388.0,384.0,356.0,517.0,446.0,395.0,2110.0,2201.0,2012.0,2199.0,1899.0,2025.0,1819.0,2034.0,2173.0,2172.0,1844.0,1958.0,1879.0,1831.0,2224.0,2012.0,2115.0,2140.0,2088.0,2069.0
1131001,920.0,971.0,959.0,975.0,983.0,981.0,981.0,941.0,1066.0,1025.0,1029.0,960.0,957.0,1034.0,1012.0,1003.0,958.0,944.0,992.0,1011.0,222.0,268.0,294.0,258.0,253.0,249.0,280.0,255.0,262.0,294.0,251.0,273.0,264.0,251.0,259.0,268.0,300.0,269.0,259.0,279.0,199.0,187.0,189.0,182.0,181.0,195.0,197.0,172.0,211.0,201.0,150.0,146.0,190.0,184.0,183.0,197.0,186.0,180.0,155.0,189.0,1374.0,1471.0,1489.0,1445.0,1452.0,1526.0,1495.0,1423.0,1598.0,1550.0,1490.0,1417.0,1462.0,1503.0,1494.0,1520.0,1481.0,1409.0,1424.0,1526.0
1131002,2199.0,2254.0,2269.0,2299.0,2170.0,2318.0,2260.0,2162.0,2179.0,2156.0,2097.0,2248.0,1954.0,2107.0,2294.0,2406.0,2421.0,2223.0,2007.0,2130.0,518.0,619.0,795.0,690.0,709.0,760.0,784.0,769.0,714.0,751.0,757.0,775.0,849.0,764.0,841.0,829.0,733.0,711.0,790.0,826.0,411.0,630.0,353.0,428.0,441.0,310.0,403.0,386.0,371.0,431.0,499.0,415.0,418.0,392.0,552.0,350.0,501.0,415.0,421.0,507.0,3155.0,3621.0,3525.0,3480.0,3445.0,3515.0,3596.0,3486.0,3320.0,3402.0,3453.0,3528.0,3331.0,3326.0,3725.0,3656.0,3819.0,3508.0,3386.0,3549.0
1131003,1094.0,1104.0,1055.0,1073.0,1021.0,1105.0,1031.0,1041.0,1039.0,1087.0,1031.0,1002.0,1111.0,1061.0,1005.0,1004.0,1026.0,1081.0,1026.0,1111.0,499.0,526.0,583.0,522.0,554.0,529.0,505.0,953.0,519.0,531.0,515.0,650.0,502.0,509.0,520.0,535.0,576.0,514.0,527.0,510.0,2342.0,2342.0,2328.0,2319.0,2308.0,2307.0,2344.0,2323.0,2317.0,2350.0,2334.0,2341.0,2321.0,2392.0,2312.0,2338.0,2329.0,2376.0,2331.0,2390.0,4273.0,4155.0,4128.0,4106.0,4035.0,4113.0,4105.0,4505.0,4049.0,4110.0,4077.0,4200.0,4131.0,4136.0,3995.0,4070.0,4074.0,4209.0,4057.0,4226.0
1131004,464.0,479.0,476.0,431.0,411.0,531.0,327.0,413.0,383.0,256.0,374.0,338.0,373.0,421.0,195.0,374.0,547.0,332.0,368.0,482.0,1034.0,985.0,972.0,1021.0,1079.0,984.0,1033.0,1043.0,1125.0,1099.0,1017.0,1073.0,1094.0,1028.0,940.0,979.0,1048.0,1120.0,990.0,1047.0,179.0,175.0,137.0,180.0,191.0,180.0,145.0,199.0,150.0,204.0,91.0,196.0,157.0,156.0,245.0,180.0,146.0,147.0,156.0,127.0,1778.0,1720.0,1692.0,1704.0,1740.0,1701.0,1615.0,1722.0,1693.0,1653.0,1544.0,1647.0,1710.0,1685.0,1409.0,1567.0,1796.0,1649.0,1641.0,1747.0
1131005,957.0,941.0,972.0,991.0,995.0,911.0,975.0,1047.0,950.0,992.0,998.0,966.0,1016.0,958.0,1024.0,976.0,1003.0,981.0,978.0,1000.0,1202.0,1212.0,1216.0,1221.0,1204.0,1205.0,1176.0,1205.0,1229.0,1231.0,1238.0,1175.0,1217.0,1207.0,1229.0,1224.0,1221.0,1257.0,1215.0,1235.0,612.0,615.0,580.0,622.0,617.0,614.0,631.0,597.0,610.0,617.0,605.0,603.0,603.0,595.0,605.0,615.0,610.0,626.0,615.0,602.0,2901.0,2878.0,2912.0,2962.0,2905.0,2828.0,2919.0,2963.0,2906.0,2989.0,2978.0,2869.0,2927.0,2902.0,2960.0,2950.0,2944.0,2980.0,2900.0,2925.0
1131006,58.0,27.0,31.0,33.0,114.0,109.0,81.0,26.0,69.0,23.0,27.0,122.0,75.0,116.0,63.0,15.0,51.0,66.0,12.0,58.0,1503.0,1684.0,1488.0,1498.0,1717.0,1639.0,1571.0,1666.0,1772.0,1538.0,1429.0,1619.0,1564.0,1488.0,1596.0,1559.0,1572.0,1632.0,1548.0,1678.0,36.0,20.0,29.0,11.0,0.0,31.0,32.0,38.0,34.0,18.0,16.0,13.0,43.0,5.0,20.0,21.0,26.0,39.0,0.0,41.0,1668.0,1771.0,1595.0,1572.0,1886.0,1810.0,1724.0,1734.0,1915.0,1579.0,1515.0,1776.0,1725.0,1650.0,1757.0,1611.0,1693.0,1766.0,1569.0,1793.0
1131007,43.0,68.0,61.0,0.0,12.0,9.0,0.0,3.0,6.0,62.0,0.0,0.0,0.0,0.0,26.0,20.0,58.0,13.0,70.0,22.0,209.0,91.0,285.0,496.0,231.0,296.0,378.0,261.0,279.0,285.0,156.0,44.0,425.0,290.0,327.0,183.0,164.0,216.0,231.0,125.0,0.0,0.0,25.0,15.0,38.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,0.0,12.0,48.0,13.0,0.0,0.0,266.0,159.0,389.0,543.0,281.0,317.0,439.0,264.0,307.0,414.0,175.0,91.0,446.0,290.0,354.0,244.0,271.0,257.0,311.0,151.0
1131008,971.0,949.0,977.0,942.0,823.0,884.0,892.0,921.0,992.0,883.0,923.0,812.0,901.0,874.0,893.0,891.0,908.0,923.0,1028.0,780.0,730.0,880.0,972.0,755.0,924.0,747.0,797.0,862.0,756.0,885.0,814.0,799.0,805.0,898.0,847.0,758.0,805.0,803.0,796.0,835.0,88.0,155.0,188.0,173.0,130.0,164.0,159.0,104.0,235.0,181.0,159.0,113.0,159.0,166.0,131.0,164.0,171.0,171.0,149.0,152.0,1876.0,2062.0,2208.0,1922.0,1953.0,1897.0,1913.0,1956.0,2025.0,2075.0,1939.0,1856.0,1966.0,1973.0,1925.0,1901.0,1967.0,1924.0,2105.0,1837.0
1131009,1871.0,1824.0,1841.0,1839.0,1862.0,1826.0,1848.0,1796.0,1770.0,1784.0,1830.0,1747.0,1817.0,1824.0,1832.0,1819.0,1817.0,1856.0,1856.0,1793.0,693.0,686.0,691.0,717.0,681.0,701.0,713.0,681.0,718.0,678.0,712.0,715.0,695.0,692.0,697.0,693.0,689.0,676.0,693.0,694.0,513.0,467.0,466.0,470.0,494.0,455.0,475.0,468.0,462.0,505.0,443.0,468.0,463.0,457.0,460.0,479.0,459.0,446.0,452.0,459.0,3477.0,3407.0,3429.0,3433.0,3434.0,3406.0,3422.0,3364.0,3364.0,3410.0,3364.0,3321.0,3378.0,3392.0,3388.0,3343.0,3385.0,3414.0,3425.0,3383.0
