Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,946.0,1143.0,1195.0,1128.0,1069.0,914.0,1430.0,1298.0,1351.0,1354.0,1043.0,914.0,1130.0,963.0,1143.0,1301.0,1151.0,1241.0,1139.0,1056.0,330.0,352.0,553.0,486.0,412.0,366.0,220.0,442.0,325.0,609.0,310.0,509.0,382.0,400.0,320.0,390.0,440.0,246.0,451.0,309.0,267.0,241.0,498.0,397.0,391.0,560.0,506.0,367.0,376.0,395.0,388.0,403.0,195.0,428.0,466.0,438.0,341.0,443.0,505.0,437.0,1610.0,1795.0,2252.0,2011.0,2048.0,1851.0,2320.0,2117.0,2172.0,2488.0,1794.0,2049.0,1834.0,1858.0,1986.0,2259.0,2041.0,2035.0,2095.0,1897.0
1131001,692.0,857.0,946.0,483.0,1150.0,1113.0,924.0,1020.0,924.0,1185.0,942.0,820.0,870.0,1071.0,893.0,897.0,1022.0,1278.0,912.0,785.0,505.0,214.0,344.0,217.0,354.0,212.0,331.0,212.0,188.0,358.0,197.0,126.0,264.0,302.0,299.0,297.0,78.0,359.0,238.0,165.0,272.0,227.0,2.0,210.0,204.0,163.0,0.0,257.0,269.0,197.0,160.0,137.0,281.0,91.0,211.0,247.0,369.0,242.0,324.0,226.0,1624.0,1433.0,1292.0,991.0,1708.0,1512.0,1393.0,1489.0,1381.0,1740.0,1356.0,1408.0,1466.0,1464.0,1403.0,1536.0,1469.0,1883.0,1522.0,1252.0
1131002,2457.0,2191.0,2105.0,1907.0,2368.0,2142.0,2264.0,2082.0,1954.0,2079.0,2216.0,2284.0,2053.0,1857.0,2730.0,2126.0,1956.0,1991.0,1766.0,1867.0,697.0,693.0,836.0,828.0,627.0,622.0,696.0,637.0,681.0,1006.0,884.0,699.0,752.0,780.0,627.0,888.0,732.0,620.0,778.0,1034.0,609.0,292.0,381.0,685.0,456.0,256.0,465.0,463.0,308.0,375.0,344.0,612.0,426.0,545.0,417.0,490.0,652.0,384.0,519.0,424.0,3964.0,3252.0,3374.0,3420.0,3655.0,3245.0,3548.0,3286.0,2943.0,3634.0,3479.0,3958.0,3231.0,3245.0,3781.0,3512.0,3431.0,2995.0,3232.0,3325.0
1131003,965.0,741.0,1005.0,768.0,699.0,1259.0,887.0,1240.0,757.0,1540.0,946.0,1160.0,1006.0,1095.0,908.0,1467.0,1061.0,990.0,878.0,869.0,734.0,464.0,376.0,604.0,435.0,681.0,496.0,438.0,466.0,659.0,557.0,493.0,440.0,528.0,550.0,581.0,550.0,528.0,544.0,530.0,2371.0,2325.0,2253.0,2437.0,2365.0,2333.0,2329.0,2263.0,2396.0,2215.0,2366.0,2502.0,2314.0,2425.0,2348.0,2304.0,2322.0,2430.0,2431.0,2373.0,4163.0,3896.0,3634.0,3874.0,3930.0,4366.0,3924.0,4119.0,3866.0,4611.0,4096.0,4254.0,3843.0,4064.0,3806.0,4469.0,4140.0,3989.0,4076.0,4256.0
1131004,423.0,339.0,536.0,48.0,430.0,329.0,582.0,548.0,456.0,581.0,264.0,471.0,213.0,536.0,429.0,238.0,699.0,137.0,438.0,480.0,1005.0,1046.0,924.0,1080.0,1082.0,984.0,1024.0,855.0,1097.0,1148.0,1057.0,1010.0,1139.0,1182.0,938.0,1070.0,1075.0,674.0,1063.0,1195.0,173.0,355.0,325.0,58.0,381.0,227.0,392.0,347.0,177.0,343.0,209.0,19.0,329.0,157.0,208.0,41.0,97.0,0.0,240.0,46.0,1665.0,1842.0,1825.0,1297.0,1946.0,1543.0,2128.0,1800.0,1826.0,2100.0,1530.0,1543.0,1742.0,1875.0,1575.0,1486.0,1973.0,834.0,1832.0,1782.0
1131005,1056.0,1061.0,909.0,1005.0,865.0,944.0,849.0,1173.0,1054.0,1103.0,1037.0,717.0,1103.0,887.0,925.0,852.0,992.0,940.0,821.0,990.0,1203.0,1146.0,1146.0,1279.0,1232.0,1137.0,1218.0,1228.0,1147.0,1274.0,1126.0,1104.0,1125.0,1208.0,1221.0,1232.0,1219.0,1020.0,1290.0,1135.0,700.0,621.0,343.0,595.0,594.0,577.0,561.0,579.0,601.0,673.0,577.0,686.0,602.0,772.0,467.0,543.0,618.0,581.0,659.0,581.0,3111.0,2828.0,2543.0,3121.0,2691.0,2658.0,2803.0,3016.0,2817.0,3059.0,3065.0,2627.0,2971.0,2872.0,2682.0,2729.0,2905.0,2541.0,2991.0,2800.0
1131006,0.0,86.0,104.0,227.0,58.0,155.0,125.0,81.0,57.0,169.0,134.0,214.0,160.0,224.0,128.0,47.0,165.0,19.0,147.0,6.0,1584.0,1507.0,1444.0,1502.0,1422.0,1694.0,1395.0,1705.0,1633.0,1508.0,1725.0,1653.0,1343.0,1434.0,1517.0,1422.0,1469.0,1650.0,1353.0,1702.0,23.0,164.0,0.0,0.0,0.0,39.0,0.0,143.0,272.0,70.0,0.0,8.0,0.0,132.0,0.0,0.0,120.0,134.0,0.0,29.0,1607.0,1757.0,1615.0,1729.0,1485.0,1888.0,1531.0,2013.0,1964.0,1824.0,1895.0,1875.0,1503.0,1790.0,1702.0,1469.0,1788.0,2029.0,1500.0,1774.0
1131007,0.0,0.0,21.0,31.0,88.0,67.0,5.0,0.0,10.0,0.0,9.0,3.0,11.0,55.0,30.0,4.0,0.0,87.0,0.0,0.0,305.0,264.0,457.0,436.0,299.0,195.0,541.0,133.0,449.0,264.0,33.0,309.0,397.0,253.0,235.0,183.0,286.0,375.0,246.0,294.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,337.0,264.0,551.0,467.0,387.0,302.0,546.0,133.0,459.0,264.0,57.0,338.0,408.0,308.0,265.0,327.0,367.0,462.0,246.0,294.0
1131008,451.0,585.0,798.0,989.0,909.0,981.0,963.0,1058.0,624.0,1105.0,1045.0,984.0,771.0,623.0,963.0,892.0,800.0,1425.0,915.0,552.0,976.0,761.0,724.0,443.0,974.0,477.0,707.0,643.0,827.0,646.0,847.0,945.0,797.0,737.0,656.0,541.0,820.0,619.0,822.0,632.0,269.0,387.0,145.0,0.0,208.0,291.0,235.0,41.0,191.0,127.0,110.0,0.0,138.0,75.0,116.0,158.0,41.0,84.0,101.0,115.0,1815.0,2005.0,1735.0,1588.0,2091.0,1776.0,1977.0,1800.0,2087.0,1954.0,2002.0,2389.0,1920.0,1579.0,1735.0,1591.0,1661.0,2166.0,1908.0,1568.0
1131009,1736.0,1701.0,1409.0,1885.0,1743.0,1861.0,1773.0,1449.0,1747.0,1986.0,1817.0,1616.0,1841.0,1791.0,1746.0,1510.0,1927.0,1694.0,1948.0,1468.0,639.0,805.0,668.0,738.0,636.0,734.0,642.0,760.0,914.0,815.0,611.0,808.0,831.0,772.0,639.0,665.0,601.0,632.0,743.0,719.0,589.0,577.0,849.0,375.0,590.0,395.0,419.0,490.0,448.0,445.0,483.0,585.0,409.0,382.0,442.0,423.0,321.0,499.0,550.0,509.0,3394.0,3462.0,3309.0,3485.0,3192.0,3717.0,3285.0,3106.0,3471.0,3650.0,3436.0,3414.0,3444.0,3413.0,3209.0,3005.0,3511.0,3222.0,3405.0,3257.0
