Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,925.0,942.0,867.0,700.0,1002.0,826.0,975.0,959.0,992.0,826.0,925.0,911.0,997.0,863.0,925.0,941.0,961.0,1086.0,937.0,929.0,220.0,299.0,238.0,236.0,371.0,298.0,304.0,275.0,329.0,241.0,385.0,292.0,324.0,314.0,318.0,323.0,297.0,345.0,328.0,254.0,652.0,597.0,532.0,631.0,550.0,579.0,554.0,695.0,671.0,689.0,684.0,676.0,579.0,625.0,664.0,598.0,638.0,698.0,626.0,625.0,1855.0,1913.0,1804.0,1595.0,2012.0,1827.0,2029.0,1945.0,2190.0,1821.0,2050.0,1929.0,1963.0,1911.0,1944.0,2003.0,2032.0,2160.0,1990.0,1882.0
1131001,728.0,699.0,676.0,822.0,650.0,757.0,771.0,667.0,704.0,722.0,767.0,751.0,697.0,792.0,664.0,655.0,747.0,741.0,726.0,706.0,437.0,344.0,339.0,313.0,330.0,303.0,247.0,271.0,302.0,248.0,389.0,301.0,356.0,339.0,253.0,304.0,276.0,321.0,302.0,367.0,452.0,395.0,341.0,356.0,395.0,433.0,380.0,410.0,404.0,402.0,386.0,404.0,321.0,382.0,358.0,438.0,411.0,371.0,432.0,406.0,1696.0,1540.0,1511.0,1494.0,1474.0,1626.0,1563.0,1414.0,1487.0,1396.0,1578.0,1515.0,1478.0,1630.0,1366.0,1397.0,1541.0,1516.0,1537.0,1644.0
1131002,1895.0,1773.0,1776.0,1714.0,1884.0,1643.0,1817.0,1873.0,1658.0,1807.0,1981.0,1876.0,1724.0,1860.0,1762.0,1838.0,1782.0,1962.0,1770.0,1886.0,414.0,416.0,584.0,486.0,536.0,509.0,574.0,479.0,528.0,561.0,585.0,500.0,528.0,564.0,478.0,551.0,707.0,523.0,594.0,515.0,929.0,945.0,924.0,809.0,957.0,986.0,693.0,904.0,849.0,990.0,726.0,852.0,983.0,1044.0,864.0,948.0,855.0,902.0,931.0,966.0,3353.0,3313.0,3395.0,3064.0,3614.0,3400.0,3320.0,3402.0,3220.0,3503.0,3350.0,3318.0,3305.0,3531.0,3241.0,3358.0,3519.0,3572.0,3326.0,3505.0
1131003,531.0,674.0,519.0,723.0,580.0,497.0,630.0,465.0,538.0,559.0,570.0,488.0,467.0,547.0,436.0,665.0,525.0,546.0,657.0,511.0,795.0,784.0,822.0,663.0,632.0,799.0,702.0,649.0,807.0,729.0,673.0,706.0,745.0,821.0,726.0,674.0,668.0,771.0,761.0,783.0,2416.0,2375.0,2434.0,2340.0,2309.0,2298.0,2493.0,2360.0,2381.0,2345.0,2343.0,2314.0,2350.0,2406.0,2411.0,2354.0,2345.0,2361.0,2460.0,2396.0,4012.0,4062.0,3932.0,3988.0,3759.0,3888.0,4214.0,3783.0,4028.0,3987.0,4048.0,3734.0,3818.0,4142.0,3833.0,3864.0,3992.0,4002.0,4224.0,4096.0
1131004,293.0,339.0,291.0,265.0,249.0,209.0,419.0,284.0,155.0,347.0,276.0,216.0,238.0,254.0,257.0,116.0,228.0,227.0,243.0,261.0,1022.0,1029.0,1093.0,1148.0,1108.0,1051.0,1053.0,1071.0,1103.0,1161.0,1043.0,1028.0,1106.0,1028.0,1067.0,1086.0,1054.0,1085.0,1039.0,1093.0,418.0,404.0,402.0,323.0,413.0,358.0,375.0,374.0,383.0,382.0,378.0,412.0,371.0,264.0,497.0,533.0,455.0,330.0,374.0,447.0,1804.0,1942.0,1905.0,1783.0,1815.0,1718.0,1999.0,1833.0,1782.0,1936.0,1805.0,1717.0,1804.0,1609.0,1844.0,1735.0,1885.0,1774.0,1786.0,1846.0
1131005,479.0,372.0,522.0,470.0,435.0,400.0,425.0,473.0,405.0,643.0,404.0,435.0,403.0,367.0,668.0,461.0,503.0,343.0,423.0,432.0,1610.0,1564.0,1579.0,1518.0,1548.0,1547.0,1598.0,1515.0,1638.0,1551.0,1519.0,1551.0,1501.0,1646.0,1561.0,1636.0,1406.0,1550.0,1458.0,1520.0,628.0,627.0,632.0,664.0,712.0,687.0,646.0,666.0,704.0,694.0,616.0,663.0,633.0,653.0,643.0,653.0,627.0,654.0,647.0,618.0,2765.0,2716.0,2786.0,2766.0,2826.0,2696.0,2787.0,2860.0,2858.0,3046.0,2607.0,2816.0,2792.0,2800.0,2972.0,2900.0,2746.0,2668.0,2612.0,2712.0
1131006,52.0,50.0,0.0,67.0,20.0,125.0,34.0,134.0,26.0,48.0,68.0,44.0,0.0,63.0,115.0,32.0,97.0,76.0,2.0,124.0,1281.0,1544.0,1377.0,1387.0,1291.0,1294.0,1514.0,1328.0,1300.0,1453.0,1308.0,1405.0,1347.0,1592.0,1280.0,1366.0,1305.0,1536.0,1359.0,1299.0,0.0,0.0,37.0,43.0,20.0,40.0,12.0,0.0,0.0,26.0,47.0,1.0,6.0,0.0,31.0,30.0,53.0,4.0,3.0,113.0,1383.0,1606.0,1504.0,1534.0,1340.0,1496.0,1606.0,1473.0,1415.0,1593.0,1451.0,1460.0,1537.0,1730.0,1465.0,1485.0,1485.0,1687.0,1420.0,1562.0
1131007,0.0,30.0,0.0,0.0,32.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,37.0,27.0,3.0,0.0,45.0,3.0,75.0,365.0,257.0,367.0,214.0,264.0,274.0,231.0,442.0,403.0,342.0,418.0,334.0,206.0,216.0,233.0,352.0,315.0,255.0,360.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,365.0,287.0,370.0,214.0,322.0,274.0,284.0,501.0,454.0,356.0,442.0,334.0,234.0,253.0,260.0,355.0,315.0,322.0,406.0,291.0
1131008,598.0,633.0,821.0,681.0,794.0,529.0,753.0,752.0,625.0,640.0,609.0,780.0,505.0,847.0,662.0,769.0,676.0,647.0,660.0,656.0,861.0,742.0,792.0,819.0,836.0,683.0,1010.0,766.0,856.0,876.0,849.0,693.0,834.0,798.0,906.0,837.0,972.0,728.0,789.0,762.0,211.0,300.0,278.0,286.0,201.0,226.0,181.0,350.0,277.0,239.0,204.0,275.0,250.0,306.0,335.0,219.0,287.0,251.0,245.0,249.0,1763.0,1808.0,1990.0,1908.0,1908.0,1583.0,1993.0,1980.0,1889.0,2069.0,1907.0,1891.0,1809.0,2047.0,2242.0,1844.0,1978.0,1742.0,1853.0,1751.0
1131009,1325.0,1217.0,1210.0,1226.0,1200.0,1211.0,1203.0,1146.0,1248.0,1206.0,1220.0,1224.0,1264.0,1172.0,1298.0,1328.0,1230.0,1223.0,1287.0,1275.0,559.0,604.0,605.0,624.0,603.0,515.0,578.0,563.0,525.0,795.0,596.0,583.0,594.0,502.0,588.0,703.0,609.0,652.0,481.0,576.0,737.0,641.0,703.0,610.0,667.0,644.0,657.0,700.0,612.0,692.0,689.0,600.0,809.0,706.0,680.0,745.0,697.0,679.0,801.0,677.0,3164.0,3052.0,3001.0,2998.0,2928.0,2894.0,3090.0,3054.0,2895.0,3321.0,2996.0,2949.0,3257.0,2876.0,3084.0,3284.0,3102.0,3054.0,3129.0,3092.0
