Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,1079.0,1122.0,1042.0,1133.0,1171.0,1048.0,1128.0,1121.0,1003.0,1127.0,1063.0,1131.0,1087.0,1156.0,1044.0,1020.0,1147.0,1095.0,1049.0,1119.0,419.0,405.0,394.0,406.0,407.0,401.0,445.0,448.0,403.0,392.0,401.0,377.0,462.0,438.0,447.0,382.0,407.0,355.0,402.0,448.0,405.0,441.0,433.0,428.0,429.0,422.0,408.0,397.0,417.0,378.0,435.0,395.0,417.0,411.0,419.0,423.0,436.0,391.0,395.0,464.0,2062.0,2086.0,1988.0,2084.0,2063.0,1949.0,2052.0,2061.0,1913.0,1980.0,1990.0,2088.0,2099.0,2139.0,2013.0,1923.0,2070.0,1948.0,1907.0,2119.0
1131001,993.0,896.0,945.0,892.0,1053.0,887.0,1012.0,904.0,972.0,918.0,872.0,1032.0,977.0,914.0,853.0,902.0,923.0,909.0,831.0,1072.0,291.0,275.0,268.0,235.0,270.0,276.0,261.0,245.0,238.0,301.0,272.0,232.0,379.0,268.0,264.0,233.0,272.0,281.0,221.0,286.0,159.0,153.0,193.0,164.0,209.0,224.0,115.0,169.0,112.0,184.0,199.0,190.0,163.0,126.0,274.0,188.0,197.0,181.0,171.0,172.0,1562.0,1344.0,1444.0,1330.0,1602.0,1387.0,1412.0,1399.0,1330.0,1452.0,1531.0,1472.0,1556.0,1361.0,1423.0,1323.0,1433.0,1402.0,1266.0,1532.0
1131002,2282.0,2191.0,2211.0,2255.0,2219.0,2177.0,2222.0,2128.0,2226.0,2248.0,2255.0,2216.0,2286.0,2265.0,2193.0,2145.0,2175.0,2268.0,2220.0,2217.0,723.0,714.0,764.0,725.0,718.0,726.0,755.0,791.0,758.0,726.0,760.0,730.0,738.0,756.0,798.0,748.0,740.0,742.0,752.0,744.0,413.0,410.0,425.0,410.0,449.0,500.0,412.0,465.0,465.0,436.0,402.0,445.0,436.0,447.0,409.0,431.0,470.0,478.0,433.0,461.0,3685.0,3431.0,3484.0,3454.0,3508.0,3542.0,3460.0,3496.0,3528.0,3552.0,3509.0,3629.0,3502.0,3532.0,3470.0,3381.0,3435.0,3576.0,3515.0,3480.0
1131003,1045.0,1089.0,1055.0,1019.0,1120.0,1078.0,957.0,1022.0,978.0,905.0,924.0,921.0,928.0,1019.0,972.0,874.0,1041.0,1120.0,911.0,1031.0,497.0,570.0,496.0,548.0,533.0,543.0,500.0,544.0,542.0,537.0,516.0,544.0,574.0,559.0,528.0,531.0,576.0,539.0,552.0,528.0,2304.0,2286.0,2244.0,2345.0,2311.0,2308.0,2408.0,2350.0,2328.0,2336.0,2362.0,2341.0,2350.0,2327.0,2326.0,2300.0,2286.0,2346.0,2323.0,2324.0,3975.0,4096.0,3953.0,4117.0,4132.0,4079.0,4033.0,4053.0,3981.0,3928.0,3994.0,4000.0,4013.0,4114.0,4075.0,3840.0,4212.0,4248.0,3874.0,3987.0
1131004,441.0,393.0,359.0,357.0,489.0,322.0,281.0,395.0,470.0,451.0,362.0,373.0,329.0,396.0,426.0,400.0,354.0,430.0,373.0,332.0,1108.0,1045.0,1025.0,1062.0,1028.0,1035.0,1048.0,1033.0,1048.0,1041.0,1077.0,1002.0,1052.0,1023.0,1031.0,1015.0,1026.0,1052.0,1039.0,1056.0,170.0,170.0,188.0,176.0,170.0,201.0,202.0,192.0,176.0,191.0,177.0,163.0,98.0,181.0,150.0,174.0,174.0,105.0,178.0,179.0,1815.0,1689.0,1637.0,1693.0,1839.0,1643.0,1571.0,1724.0,1781.0,1760.0,1719.0,1616.0,1563.0,1653.0,1650.0,1636.0,1707.0,1644.0,1660.0,1648.0
1131005,1093.0,1212.0,991.0,984.0,952.0,968.0,894.0,1000.0,977.0,923.0,954.0,842.0,967.0,1089.0,996.0,960.0,990.0,891.0,838.0,946.0,1174.0,1176.0,1198.0,1272.0,1206.0,1218.0,1203.0,1226.0,1223.0,1219.0,1216.0,1181.0,1220.0,1192.0,1203.0,1221.0,1222.0,1251.0,1204.0,1218.0,623.0,608.0,627.0,587.0,597.0,577.0,721.0,573.0,630.0,600.0,579.0,619.0,530.0,637.0,586.0,589.0,580.0,722.0,600.0,643.0,3023.0,3080.0,2824.0,2914.0,2916.0,2789.0,2936.0,2885.0,2914.0,2827.0,2755.0,2754.0,2937.0,2975.0,2883.0,2858.0,2832.0,2998.0,2728.0,2876.0
1131006,55.0,48.0,69.0,52.0,83.0,53.0,88.0,64.0,21.0,11.0,79.0,75.0,128.0,22.0,18.0,105.0,78.0,88.0,64.0,37.0,1537.0,1510.0,1577.0,1550.0,1543.0,1527.0,1504.0,1593.0,1500.0,1591.0,1527.0,1517.0,1506.0,1484.0,1518.0,1531.0,1549.0,1566.0,1532.0,1564.0,0.0,46.0,48.0,33.0,72.0,0.0,40.0,43.0,32.0,14.0,71.0,5.0,31.0,0.0,51.0,6.0,38.0,38.0,7.0,0.0,1629.0,1642.0,1761.0,1699.0,1707.0,1597.0,1657.0,1750.0,1579.0,1692.0,1737.0,1628.0,1739.0,1516.0,1587.0,1667.0,1723.0,1734.0,1615.0,1675.0
1131007,0.0,6.0,46.0,19.0,28.0,25.0,35.0,19.0,20.0,9.0,31.0,52.0,16.0,19.0,5.0,7.0,30.0,38.0,42.0,12.0,342.0,343.0,305.0,349.0,337.0,357.0,316.0,358.0,326.0,346.0,321.0,334.0,313.0,340.0,336.0,341.0,339.0,358.0,332.0,345.0,0.0,1.0,20.0,6.0,19.0,0.0,19.0,3.0,1.0,0.0,10.0,0.0,2.0,0.0,12.0,5.0,2.0,0.0,7.0,0.0,356.0,351.0,388.0,390.0,389.0,382.0,372.0,380.0,358.0,362.0,374.0,386.0,343.0,359.0,353.0,358.0,380.0,405.0,397.0,376.0
1131008,951.0,979.0,904.0,1143.0,976.0,926.0,1015.0,878.0,962.0,1036.0,769.0,742.0,873.0,974.0,844.0,673.0,861.0,883.0,942.0,954.0,762.0,698.0,766.0,746.0,768.0,726.0,730.0,702.0,768.0,721.0,822.0,791.0,743.0,723.0,713.0,789.0,702.0,785.0,727.0,746.0,151.0,171.0,119.0,164.0,93.0,145.0,110.0,60.0,162.0,108.0,101.0,132.0,151.0,182.0,87.0,196.0,163.0,100.0,161.0,142.0,1944.0,1974.0,1823.0,2105.0,1904.0,2084.0,1934.0,1673.0,2016.0,1938.0,1702.0,1757.0,1803.0,1948.0,1679.0,1779.0,1744.0,1867.0,1942.0,1922.0
1131009,1747.0,1653.0,1928.0,1850.0,1922.0,1813.0,1779.0,1681.0,1778.0,1707.0,1820.0,1914.0,1831.0,1840.0,1605.0,1826.0,1747.0,1914.0,1827.0,1753.0,714.0,684.0,779.0,715.0,687.0,713.0,810.0,684.0,721.0,738.0,700.0,683.0,701.0,670.0,701.0,760.0,662.0,673.0,730.0,656.0,453.0,475.0,469.0,527.0,499.0,480.0,436.0,453.0,494.0,466.0,460.0,474.0,445.0,450.0,514.0,443.0,450.0,484.0,495.0,476.0,3286.0,3230.0,3585.0,3494.0,3532.0,3453.0,3573.0,3199.0,3372.0,3252.0,3355.0,3525.0,3364.0,3284.0,3226.0,3348.0,3290.0,3419.0,3456.0,3441.0
1131010,1467.0,1463.0,1582.0,1568.0,1475.0,1521.0,1541.0,1555.0,1585.0,1639.0,1620.0,1563.0,1435.0,1519.0,1488.0,1528.0,1567.0,1484.0,1603.0,1576.0,643.0,638.0,589.0,655.0,625.0,609.0,594.0,641.0,659.0,682.0,587.0,639.0,629.0,645.0,644.0,624.0,610.0,624.0,639.0,636.0,378.0,412.0,410.0,372.0,367.0,415.0,372.0,412.0,406.0,420.0,436.0,453.0,400.0,402.0,465.0,439.0,408.0,421.0,352.0,401.0,2681.0,2641.0,2691.0,2680.0,2614.0,2763.0,2658.0,2777.0,2706.0,2921.0,2737.0,2783.0,2565.0,2641.0,2703.0,2741.0,2778.0,2674.0,2743.0,2783.0
1131011,2038.0,2122.0,2020.0,2154.0,2152.0,2098.0,2072.0,2088.0,2188.0,2083.0,2286.0,2182.0,2093.0,2026.0,2122.0,2132.0,2033.0,2083.0,2220.0,1978.0,454.0,504.0,494.0,503.0,481.0,489.0,431.0,449.0,488.0,497.0,485.0,450.0,529.0,393.0,695.0,476.0,509.0,502.0,459.0,474.0,202.0,182.0,204.0,229.0,219.0,191.0,314.0,207.0,174.0,206.0,189.0,183.0,182.0,239.0,188.0,266.0,198.0,195.0,193.0,232.0,3121.0,3257.0,3158.0,3445.0,3341.0,3289.0,3284.0,3189.0,3292.0,3201.0,3458.0,3272.0,3259.0,3133.0,3482.0,3388.0,3132.0,3226.0,3375.0,3075.0
1131012,49.0,56.0,65.0,58.0,41.0,34.0,45.0,35.0,34.0,41.0,46.0,40.0,37.0,50.0,41.0,25.0,35.0,46.0,59.0,40.0,145.0,164.0,146.0,153.0,136.0,148.0,157.0,149.0,160.0,147.0,144.0,149.0,155.0,143.0,151.0,154.0,147.0,160.0,146.0,155.0,18.0,26.0,23.0,24.0,7.0,30.0,7.0,20.0,24.0,21.0,6.0,22.0,23.0,21.0,14.0,26.0,16.0,3.0,16.0,21.0,234.0,256.0,236.0,253.0,200.0,237.0,225.0,219.0,245.0,218.0,204.0,215.0,230.0,214.0,220.0,224.0,202.0,227.0,229.0,248.0
1131013,939.0,933.0,867.0,867.0,970.0,872.0,902.0,963.0,955.0,907.0,931.0,888.0,837.0,901.0,996.0,795.0,878.0,954.0,931.0,923.0,2652.0,2620.0,2624.0,2657.0,2643.0,2637.0,2603.0,2635.0,2586.0,2647.0,2633.0,2592.0,2635.0,2663.0,2578.0,2620.0,2657.0,2631.0,2640.0,2637.0,82.0,56.0,83.0,83.0,59.0,75.0,90.0,22.0,41.0,73.0,53.0,34.0,97.0,104.0,76.0,81.0,49.0,77.0,42.0,69.0,3911.0,4090.0,3944.0,3895.0,3939.0,3828.0,3912.0,3838.0,3882.0,4002.0,3886.0,3780.0,3805.0,3996.0,4066.0,3731.0,3865.0,4013.0,3893.0,3883.0
