Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,1051.0,1191.0,1272.0,1150.0,1042.0,1078.0,1296.0,1201.0,934.0,1245.0,1185.0,1448.0,1159.0,986.0,1084.0,1160.0,1140.0,1231.0,1099.0,1258.0,387.0,465.0,350.0,336.0,467.0,379.0,604.0,457.0,452.0,456.0,466.0,468.0,346.0,404.0,419.0,414.0,469.0,542.0,498.0,370.0,349.0,349.0,486.0,412.0,436.0,542.0,452.0,419.0,562.0,468.0,356.0,500.0,410.0,439.0,222.0,488.0,388.0,486.0,306.0,245.0,1909.0,2075.0,2355.0,1918.0,2067.0,2021.0,2450.0,2157.0,1977.0,2212.0,2105.0,2517.0,2051.0,1917.0,1784.0,2155.0,2046.0,2307.0,1993.0,1888.0
1131001,969.0,942.0,912.0,971.0,892.0,925.0,970.0,971.0,1072.0,912.0,935.0,1003.0,917.0,1033.0,932.0,958.0,975.0,1026.0,1011.0,891.0,267.0,254.0,253.0,262.0,269.0,279.0,261.0,239.0,284.0,248.0,224.0,280.0,222.0,246.0,273.0,272.0,290.0,259.0,279.0,250.0,207.0,205.0,174.0,138.0,194.0,185.0,169.0,183.0,156.0,181.0,166.0,209.0,182.0,167.0,189.0,181.0,180.0,186.0,172.0,179.0,1450.0,1414.0,1375.0,1371.0,1391.0,1429.0,1467.0,1419.0,1624.0,1433.0,1375.0,1524.0,1369.0,1474.0,1489.0,1444.0,1488.0,1506.0,1545.0,1371.0
1131002,2535.0,2225.0,2057.0,2388.0,2133.0,2408.0,2174.0,2453.0,2220.0,2148.0,2348.0,2128.0,2379.0,2024.0,2262.0,2139.0,2285.0,2111.0,1980.0,1889.0,723.0,830.0,741.0,814.0,651.0,603.0,536.0,538.0,552.0,667.0,611.0,640.0,816.0,820.0,600.0,838.0,449.0,598.0,639.0,540.0,524.0,126.0,359.0,482.0,432.0,586.0,273.0,557.0,305.0,543.0,529.0,478.0,348.0,419.0,609.0,384.0,605.0,436.0,620.0,346.0,3865.0,3292.0,3248.0,3758.0,3248.0,3780.0,3040.0,3678.0,3101.0,3470.0,3495.0,3290.0,3551.0,3350.0,3617.0,3367.0,3532.0,3209.0,3254.0,2912.0
1131003,946.0,942.0,1017.0,1026.0,1055.0,1057.0,983.0,935.0,1004.0,941.0,995.0,952.0,991.0,1127.0,1068.0,996.0,984.0,1042.0,962.0,1016.0,510.0,602.0,551.0,495.0,534.0,514.0,656.0,540.0,671.0,627.0,544.0,581.0,513.0,593.0,472.0,705.0,641.0,519.0,571.0,562.0,2341.0,2325.0,2364.0,2325.0,2363.0,2324.0,2331.0,2311.0,2331.0,2340.0,2316.0,2368.0,2328.0,2348.0,2371.0,2316.0,2314.0,2323.0,2310.0,2355.0,4020.0,4070.0,4169.0,4017.0,4284.0,4123.0,4154.0,3957.0,4206.0,4115.0,4015.0,4059.0,3984.0,4274.0,4179.0,4163.0,4049.0,4049.0,3980.0,4102.0
1131004,535.0,454.0,398.0,534.0,445.0,245.0,422.0,499.0,532.0,461.0,452.0,401.0,493.0,430.0,493.0,393.0,428.0,377.0,317.0,341.0,989.0,1032.0,1050.0,985.0,1035.0,1066.0,1041.0,1058.0,1043.0,901.0,984.0,965.0,1135.0,1069.0,957.0,1169.0,1109.0,978.0,1098.0,1092.0,346.0,230.0,255.0,152.0,185.0,126.0,192.0,154.0,233.0,191.0,252.0,230.0,139.0,133.0,188.0,31.0,227.0,166.0,209.0,225.0,1945.0,1771.0,1753.0,1722.0,1700.0,1515.0,1692.0,1727.0,1888.0,1625.0,1735.0,1632.0,1839.0,1658.0,1734.0,1680.0,1912.0,1641.0,1725.0,1751.0
1131005,958.0,1074.0,992.0,987.0,985.0,991.0,1105.0,993.0,982.0,985.0,963.0,969.0,917.0,1023.0,1080.0,1083.0,948.0,946.0,1059.0,971.0,1215.0,1189.0,1195.0,1237.0,1210.0,1218.0,1264.0,1219.0,1233.0,1243.0,1217.0,1213.0,1231.0,1208.0,1231.0,1215.0,1206.0,1216.0,1239.0,1195.0,609.0,623.0,614.0,594.0,593.0,608.0,645.0,604.0,638.0,610.0,620.0,581.0,595.0,548.0,607.0,608.0,598.0,635.0,608.0,596.0,2879.0,2958.0,2855.0,2960.0,2943.0,2979.0,3099.0,2952.0,2956.0,2960.0,2911.0,2859.0,2833.0,2966.0,3047.0,3038.0,2828.0,2917.0,2996.0,2870.0
1131006,1.0,0.0,65.0,40.0,94.0,116.0,89.0,44.0,38.0,93.0,82.0,18.0,23.0,76.0,103.0,3.0,62.0,72.0,124.0,43.0,1434.0,1440.0,1678.0,1542.0,1361.0,1742.0,1652.0,1325.0,1630.0,1407.0,1505.0,1436.0,1641.0,1521.0,1435.0,1596.0,1450.0,1504.0,1568.0,1415.0,0.0,0.0,0.0,5.0,52.0,58.0,3.0,0.0,55.0,41.0,49.0,41.0,32.0,32.0,0.0,37.0,38.0,54.0,39.0,0.0,1490.0,1514.0,1752.0,1591.0,1529.0,1937.0,1776.0,1442.0,1732.0,1554.0,1795.0,1552.0,1754.0,1678.0,1626.0,1668.0,1550.0,1650.0,1844.0,1458.0
1131007,0.0,68.0,0.0,31.0,0.0,14.0,33.0,39.0,35.0,0.0,0.0,0.0,0.0,28.0,1.0,65.0,3.0,1.0,2.0,75.0,521.0,351.0,202.0,504.0,345.0,261.0,68.0,490.0,315.0,381.0,376.0,502.0,237.0,48.0,591.0,255.0,221.0,169.0,79.0,680.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,80.0,2.0,521.0,434.0,211.0,560.0,345.0,284.0,101.0,529.0,365.0,424.0,376.0,502.0,238.0,130.0,592.0,320.0,224.0,233.0,161.0,768.0
1131008,1048.0,847.0,908.0,1018.0,810.0,991.0,990.0,849.0,1008.0,948.0,885.0,880.0,1002.0,863.0,902.0,852.0,1020.0,980.0,960.0,985.0,801.0,808.0,558.0,740.0,692.0,807.0,806.0,888.0,554.0,1089.0,929.0,734.0,866.0,727.0,810.0,773.0,831.0,930.0,804.0,903.0,97.0,190.0,86.0,197.0,87.0,174.0,143.0,151.0,184.0,152.0,170.0,199.0,180.0,151.0,102.0,150.0,124.0,166.0,79.0,191.0,1988.0,1879.0,1621.0,2078.0,1724.0,2085.0,1996.0,1986.0,1882.0,2291.0,2060.0,1963.0,2172.0,1815.0,1863.0,1852.0,2049.0,2155.0,1977.0,2145.0
1131009,1768.0,1776.0,1833.0,1818.0,1733.0,1808.0,1872.0,1870.0,1773.0,1831.0,1837.0,1862.0,1857.0,1789.0,1868.0,1783.0,1765.0,1777.0,1759.0,1765.0,682.0,712.0,813.0,683.0,624.0,679.0,698.0,695.0,681.0,819.0,689.0,695.0,677.0,713.0,692.0,728.0,657.0,668.0,720.0,686.0,489.0,447.0,485.0,461.0,480.0,471.0,472.0,504.0,463.0,433.0,455.0,475.0,479.0,452.0,455.0,469.0,471.0,498.0,471.0,494.0,3369.0,3309.0,3536.0,3482.0,3229.0,3388.0,3458.0,3508.0,3320.0,3488.0,3402.0,3457.0,3394.0,3370.0,3469.0,3329.0,3290.0,3402.0,3430.0,3319.0
