Precinct,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,16_HVAP_noise,17_HVAP_noise,18_HVAP_noise,19_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,16_WVAP_noise,17_WVAP_noise,18_WVAP_noise,19_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,16_BVAP_noise,17_BVAP_noise,18_BVAP_noise,19_BVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise,16_VAP_noise,17_VAP_noise,18_VAP_noise,19_VAP_noise
1131000,897.0,858.0,924.0,948.0,830.0,842.0,771.0,900.0,1048.0,1003.0,864.0,987.0,794.0,902.0,920.0,972.0,935.0,868.0,857.0,834.0,304.0,384.0,264.0,264.0,209.0,358.0,327.0,242.0,317.0,424.0,242.0,332.0,307.0,330.0,276.0,305.0,301.0,187.0,285.0,292.0,768.0,700.0,563.0,682.0,638.0,645.0,680.0,597.0,538.0,646.0,633.0,585.0,594.0,675.0,701.0,688.0,695.0,669.0,617.0,677.0,2004.0,1995.0,1853.0,1913.0,1751.0,1918.0,1903.0,1797.0,1942.0,2127.0,1809.0,1952.0,1785.0,1942.0,1924.0,2115.0,1983.0,1770.0,1886.0,1896.0
1131001,707.0,740.0,741.0,839.0,727.0,762.0,671.0,625.0,866.0,751.0,907.0,693.0,785.0,638.0,693.0,755.0,726.0,848.0,725.0,693.0,309.0,293.0,444.0,269.0,324.0,314.0,307.0,306.0,318.0,298.0,325.0,323.0,318.0,303.0,346.0,338.0,280.0,302.0,324.0,292.0,390.0,392.0,359.0,396.0,394.0,418.0,369.0,395.0,433.0,419.0,434.0,411.0,422.0,384.0,434.0,404.0,351.0,344.0,397.0,472.0,1507.0,1500.0,1654.0,1669.0,1535.0,1689.0,1403.0,1465.0,1767.0,1567.0,1801.0,1546.0,1612.0,1382.0,1623.0,1690.0,1500.0,1541.0,1543.0,1576.0
1131002,1784.0,1901.0,1878.0,1861.0,1813.0,1839.0,1948.0,1673.0,1828.0,1662.0,1905.0,1872.0,1853.0,1832.0,1867.0,1936.0,1887.0,1841.0,1723.0,1844.0,595.0,531.0,574.0,561.0,503.0,510.0,535.0,532.0,567.0,530.0,335.0,573.0,523.0,552.0,406.0,551.0,493.0,566.0,522.0,593.0,928.0,781.0,877.0,868.0,915.0,731.0,938.0,806.0,840.0,888.0,871.0,932.0,987.0,812.0,850.0,831.0,809.0,951.0,887.0,819.0,3552.0,3401.0,3461.0,3513.0,3357.0,3177.0,3523.0,3218.0,3337.0,3175.0,3257.0,3498.0,3466.0,3338.0,3256.0,3516.0,3320.0,3517.0,3288.0,3348.0
1131003,588.0,486.0,667.0,596.0,539.0,571.0,650.0,490.0,530.0,604.0,576.0,518.0,595.0,611.0,504.0,643.0,501.0,541.0,556.0,517.0,802.0,688.0,738.0,794.0,718.0,721.0,668.0,734.0,761.0,709.0,723.0,668.0,689.0,732.0,695.0,721.0,688.0,692.0,817.0,756.0,2357.0,2578.0,2352.0,2384.0,2415.0,2486.0,2367.0,2383.0,2358.0,2342.0,2385.0,2273.0,2352.0,2380.0,2418.0,2344.0,2426.0,2331.0,2418.0,2346.0,3978.0,4092.0,3983.0,4179.0,3967.0,4123.0,4020.0,3905.0,3891.0,3944.0,4101.0,3758.0,3899.0,4004.0,4011.0,4033.0,3940.0,3839.0,4038.0,4004.0
1131004,260.0,237.0,235.0,248.0,272.0,310.0,265.0,276.0,277.0,332.0,243.0,253.0,212.0,216.0,278.0,356.0,166.0,233.0,333.0,185.0,1131.0,1097.0,1098.0,1036.0,948.0,1060.0,1043.0,1066.0,1085.0,1048.0,1058.0,1096.0,1108.0,1075.0,1091.0,1064.0,1085.0,1067.0,1147.0,1089.0,374.0,454.0,523.0,357.0,403.0,428.0,309.0,398.0,419.0,362.0,379.0,426.0,391.0,333.0,354.0,349.0,393.0,364.0,371.0,516.0,1915.0,1864.0,1941.0,1660.0,1671.0,1845.0,1728.0,1811.0,1901.0,1812.0,1775.0,1903.0,1765.0,1680.0,1908.0,1822.0,1745.0,1751.0,1893.0,1901.0
1131005,497.0,453.0,489.0,309.0,508.0,379.0,597.0,455.0,479.0,467.0,454.0,326.0,517.0,494.0,451.0,438.0,451.0,450.0,461.0,437.0,1580.0,1543.0,1540.0,1527.0,1632.0,1478.0,1544.0,1548.0,1540.0,1538.0,1642.0,1458.0,1558.0,1543.0,1552.0,1567.0,1544.0,1547.0,1507.0,1574.0,662.0,672.0,629.0,677.0,656.0,512.0,607.0,648.0,645.0,677.0,646.0,673.0,664.0,665.0,622.0,672.0,606.0,665.0,636.0,654.0,2859.0,2727.0,2840.0,2626.0,2875.0,2625.0,2855.0,2774.0,2797.0,2769.0,2913.0,2613.0,2793.0,2806.0,2764.0,2747.0,2763.0,2743.0,2741.0,2756.0
1131006,13.0,88.0,0.0,39.0,1.0,35.0,57.0,62.0,32.0,45.0,37.0,128.0,40.0,110.0,40.0,56.0,116.0,37.0,0.0,145.0,1351.0,1417.0,1322.0,1324.0,1287.0,1337.0,1456.0,1245.0,1420.0,1525.0,1369.0,1503.0,1418.0,1264.0,1346.0,1242.0,1370.0,1358.0,1385.0,1307.0,26.0,7.0,15.0,13.0,0.0,26.0,0.0,49.0,21.0,38.0,0.0,9.0,44.0,21.0,40.0,23.0,0.0,27.0,35.0,0.0,1414.0,1542.0,1404.0,1471.0,1334.0,1398.0,1578.0,1403.0,1508.0,1717.0,1433.0,1658.0,1612.0,1486.0,1448.0,1402.0,1523.0,1472.0,1476.0,1568.0
1131007,0.0,31.0,29.0,0.0,0.0,4.0,0.0,56.0,37.0,0.0,40.0,0.0,20.0,15.0,4.0,14.0,17.0,0.0,0.0,19.0,249.0,249.0,400.0,374.0,345.0,242.0,282.0,285.0,365.0,260.0,374.0,374.0,269.0,300.0,300.0,295.0,394.0,283.0,314.0,273.0,0.0,24.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,13.0,0.0,41.0,33.0,0.0,277.0,304.0,456.0,405.0,354.0,246.0,290.0,424.0,402.0,270.0,414.0,376.0,344.0,327.0,369.0,322.0,440.0,324.0,347.0,313.0
1131008,699.0,625.0,762.0,664.0,663.0,706.0,743.0,644.0,787.0,693.0,717.0,703.0,906.0,677.0,533.0,826.0,705.0,689.0,761.0,765.0,1023.0,923.0,873.0,851.0,932.0,892.0,823.0,861.0,819.0,715.0,846.0,947.0,791.0,822.0,811.0,801.0,838.0,995.0,739.0,938.0,269.0,319.0,287.0,256.0,274.0,193.0,324.0,271.0,293.0,279.0,218.0,317.0,283.0,217.0,234.0,422.0,173.0,218.0,246.0,279.0,2111.0,2115.0,2051.0,1891.0,1947.0,1927.0,2017.0,1888.0,1925.0,1813.0,1854.0,1970.0,2112.0,1824.0,1749.0,2124.0,1762.0,1955.0,1907.0,2032.0
1131009,1237.0,1211.0,1320.0,1215.0,1210.0,1229.0,1210.0,1128.0,1248.0,1242.0,1222.0,1187.0,1185.0,1299.0,1249.0,1358.0,1298.0,1239.0,1271.0,1152.0,582.0,537.0,623.0,511.0,596.0,596.0,521.0,597.0,593.0,589.0,607.0,625.0,561.0,547.0,596.0,810.0,593.0,581.0,590.0,591.0,675.0,707.0,681.0,721.0,705.0,700.0,711.0,707.0,704.0,713.0,697.0,669.0,735.0,678.0,680.0,664.0,710.0,639.0,666.0,686.0,3078.0,2984.0,3188.0,2960.0,3085.0,3141.0,2998.0,2984.0,3126.0,3009.0,3144.0,3087.0,3033.0,3066.0,2983.0,3469.0,2984.0,3075.0,3023.0,2996.0
